Name	Number of nodes	Number of undirected edges	Number of connected components	Nodes in prize	Nodes in sources	Nodes in targets
output/data0-omicsintegrator1-params-23OYCFU/pathway.txt	212	207	5	210	0	0
output/data0-omicsintegrator1-params-2CCPVKC/pathway.txt	154	151	3	152	0	0
output/data0-omicsintegrator1-params-2DRJMCG/pathway.txt	185	181	4	183	0	0
output/data0-omicsintegrator1-params-2GTWYUF/pathway.txt	172	168	4	170	0	0
output/data0-omicsintegrator1-params-2IYXGCY/pathway.txt	283	278	5	278	0	0
output/data0-omicsintegrator1-params-2KTOJ6S/pathway.txt	242	238	4	239	0	0
output/data0-omicsintegrator1-params-2OYFTXM/pathway.txt	186	182	4	184	0	0
output/data0-omicsintegrator1-params-2RDJ7E2/pathway.txt	270	265	5	265	0	0
output/data0-omicsintegrator1-params-2UNEBMK/pathway.txt	130	128	2	129	0	0
output/data0-omicsintegrator1-params-2UVVGYP/pathway.txt	245	241	4	242	0	0
output/data0-omicsintegrator1-params-2VUNGUO/pathway.txt	141	139	2	140	0	0
output/data0-omicsintegrator1-params-2Y7MUKM/pathway.txt	211	206	5	209	0	0
output/data0-omicsintegrator1-params-2YADJQI/pathway.txt	154	151	3	152	0	0
output/data0-omicsintegrator1-params-3A5WFWO/pathway.txt	193	189	4	191	0	0
output/data0-omicsintegrator1-params-3A7UVBW/pathway.txt	266	261	5	261	0	0
output/data0-omicsintegrator1-params-3GSE2ZK/pathway.txt	132	130	2	131	0	0
output/data0-omicsintegrator1-params-3LVRXZR/pathway.txt	200	196	4	198	0	0
output/data0-omicsintegrator1-params-3OICS6O/pathway.txt	186	182	4	184	0	0
output/data0-omicsintegrator1-params-47TUII5/pathway.txt	238	234	4	235	0	0
output/data0-omicsintegrator1-params-4CXR3LW/pathway.txt	319	312	7	314	0	0
output/data0-omicsintegrator1-params-4D4BHFT/pathway.txt	155	152	3	153	0	0
output/data0-omicsintegrator1-params-4OWB3QP/pathway.txt	245	241	4	242	0	0
output/data0-omicsintegrator1-params-5EGB4IL/pathway.txt	309	302	7	304	0	0
output/data0-omicsintegrator1-params-5NKQXXX/pathway.txt	151	148	3	149	0	0
output/data0-omicsintegrator1-params-5NR7SQ2/pathway.txt	133	131	2	132	0	0
output/data0-omicsintegrator1-params-5NY7SRS/pathway.txt	325	318	7	320	0	0
output/data0-omicsintegrator1-params-5PUUQBP/pathway.txt	200	196	4	198	0	0
output/data0-omicsintegrator1-params-5QT7LI2/pathway.txt	152	149	3	150	0	0
output/data0-omicsintegrator1-params-5TQ2RUR/pathway.txt	318	311	7	313	0	0
output/data0-omicsintegrator1-params-5U2WEFY/pathway.txt	190	186	4	188	0	0
output/data0-omicsintegrator1-params-5W5CLPE/pathway.txt	131	129	2	130	0	0
output/data0-omicsintegrator1-params-5Y6ALDD/pathway.txt	272	267	5	267	0	0
output/data0-omicsintegrator1-params-644GZW6/pathway.txt	139	137	2	138	0	0
output/data0-omicsintegrator1-params-66LIB2E/pathway.txt	287	282	5	282	0	0
output/data0-omicsintegrator1-params-6B4AP3K/pathway.txt	270	265	5	265	0	0
output/data0-omicsintegrator1-params-6OTB4RE/pathway.txt	206	201	5	204	0	0
output/data0-omicsintegrator1-params-6QOC62R/pathway.txt	178	174	4	176	0	0
output/data0-omicsintegrator1-params-6SHFQQR/pathway.txt	136	134	2	135	0	0
output/data0-omicsintegrator1-params-6WTOEDG/pathway.txt	206	201	5	204	0	0
output/data0-omicsintegrator1-params-6WVG66L/pathway.txt	141	139	2	140	0	0
output/data0-omicsintegrator1-params-74V74TK/pathway.txt	281	276	5	276	0	0
output/data0-omicsintegrator1-params-7JAQFOU/pathway.txt	240	236	4	237	0	0
output/data0-omicsintegrator1-params-7LF6ZF3/pathway.txt	265	260	5	260	0	0
output/data0-omicsintegrator1-params-7LIUA23/pathway.txt	131	129	2	130	0	0
output/data0-omicsintegrator1-params-7VGCSO4/pathway.txt	287	282	5	282	0	0
output/data0-omicsintegrator1-params-7ZLATBH/pathway.txt	298	292	6	293	0	0
output/data0-omicsintegrator1-params-A5GX3FB/pathway.txt	164	161	3	162	0	0
output/data0-omicsintegrator1-params-A7WNTJT/pathway.txt	279	274	5	274	0	0
output/data0-omicsintegrator1-params-ACYMXBU/pathway.txt	291	286	5	286	0	0
output/data0-omicsintegrator1-params-AI6LZYR/pathway.txt	274	269	5	269	0	0
output/data0-omicsintegrator1-params-AIORQ7R/pathway.txt	290	285	5	285	0	0
output/data0-omicsintegrator1-params-AL3HOZS/pathway.txt	279	274	5	274	0	0
output/data0-omicsintegrator1-params-ALWEAVI/pathway.txt	288	283	5	283	0	0
output/data0-omicsintegrator1-params-AOX7LMB/pathway.txt	280	275	5	275	0	0
output/data0-omicsintegrator1-params-ASCPEX3/pathway.txt	295	289	6	290	0	0
output/data0-omicsintegrator1-params-ATLPRXI/pathway.txt	280	275	5	275	0	0
output/data0-omicsintegrator1-params-AUZQKGQ/pathway.txt	212	207	5	210	0	0
output/data0-omicsintegrator1-params-AVN2XCG/pathway.txt	260	255	5	255	0	0
output/data0-omicsintegrator1-params-AXQXIUT/pathway.txt	265	260	5	260	0	0
output/data0-omicsintegrator1-params-AZNP4CA/pathway.txt	261	256	5	256	0	0
output/data0-omicsintegrator1-params-B2JW75I/pathway.txt	191	187	4	189	0	0
output/data0-omicsintegrator1-params-B4T5AHL/pathway.txt	263	258	5	258	0	0
output/data0-omicsintegrator1-params-BDX4EO6/pathway.txt	285	280	5	280	0	0
output/data0-omicsintegrator1-params-BEQXBTA/pathway.txt	132	130	2	131	0	0
output/data0-omicsintegrator1-params-BF6N6KF/pathway.txt	197	193	4	195	0	0
output/data0-omicsintegrator1-params-BFUUSKS/pathway.txt	152	149	3	150	0	0
output/data0-omicsintegrator1-params-BSPY7MS/pathway.txt	153	150	3	151	0	0
output/data0-omicsintegrator1-params-BUVC6AW/pathway.txt	149	146	3	147	0	0
output/data0-omicsintegrator1-params-BYKNB3E/pathway.txt	193	189	4	191	0	0
output/data0-omicsintegrator1-params-C2BNFS5/pathway.txt	262	257	5	257	0	0
output/data0-omicsintegrator1-params-CGSDT7T/pathway.txt	319	312	7	314	0	0
output/data0-omicsintegrator1-params-CIUXMLD/pathway.txt	309	302	7	304	0	0
output/data0-omicsintegrator1-params-CLONESS/pathway.txt	310	303	7	305	0	0
output/data0-omicsintegrator1-params-CLX7C33/pathway.txt	172	168	4	170	0	0
output/data0-omicsintegrator1-params-CS4NHE7/pathway.txt	141	139	2	140	0	0
output/data0-omicsintegrator1-params-CWLV2ZG/pathway.txt	313	306	7	308	0	0
output/data0-omicsintegrator1-params-CY7QKFU/pathway.txt	234	230	4	231	0	0
output/data0-omicsintegrator1-params-D6ALNWJ/pathway.txt	148	145	3	146	0	0
output/data0-omicsintegrator1-params-DDZEC6U/pathway.txt	279	274	5	274	0	0
output/data0-omicsintegrator1-params-DMZBNZF/pathway.txt	148	145	3	146	0	0
output/data0-omicsintegrator1-params-DPRRWEP/pathway.txt	279	274	5	274	0	0
output/data0-omicsintegrator1-params-DSJNE5K/pathway.txt	155	152	3	153	0	0
output/data0-omicsintegrator1-params-DWSQMOQ/pathway.txt	132	130	2	131	0	0
output/data0-omicsintegrator1-params-E4SWIES/pathway.txt	320	313	7	315	0	0
output/data0-omicsintegrator1-params-E64HT6R/pathway.txt	279	274	5	274	0	0
output/data0-omicsintegrator1-params-EB4PLQR/pathway.txt	268	263	5	263	0	0
output/data0-omicsintegrator1-params-EK7SM7R/pathway.txt	185	181	4	183	0	0
output/data0-omicsintegrator1-params-EP2CE5V/pathway.txt	279	274	5	274	0	0
output/data0-omicsintegrator1-params-EUK44FP/pathway.txt	273	268	5	268	0	0
output/data0-omicsintegrator1-params-EXIH3IT/pathway.txt	288	283	5	283	0	0
output/data0-omicsintegrator1-params-F37SCX4/pathway.txt	136	134	2	135	0	0
output/data0-omicsintegrator1-params-FB4XA5V/pathway.txt	200	196	4	198	0	0
output/data0-omicsintegrator1-params-FFZIV76/pathway.txt	309	302	7	304	0	0
output/data0-omicsintegrator1-params-FKONCUE/pathway.txt	148	145	3	146	0	0
output/data0-omicsintegrator1-params-FQO4HUL/pathway.txt	245	241	4	242	0	0
output/data0-omicsintegrator1-params-FW3OONY/pathway.txt	277	272	5	272	0	0
output/data0-omicsintegrator1-params-G6PQ2OL/pathway.txt	131	129	2	130	0	0
output/data0-omicsintegrator1-params-GBV5CR6/pathway.txt	260	255	5	255	0	0
output/data0-omicsintegrator1-params-GDWUEKM/pathway.txt	154	151	3	152	0	0
