Node1	Node2	Frequency	Direction
YBR023C	YER118C	1.0	U
YBR160W	YAL024C	1.0	D
YBR160W	YAL031C	1.0	D
YBR160W	YBL063W	1.0	D
YBR160W	YBR098W	1.0	D
YBR160W	YBR102C	1.0	D
YBR160W	YCL051W	1.0	D
YBR160W	YCR065W	1.0	D
YBR160W	YDL189W	1.0	D
YBR160W	YDR052C	1.0	D
YBR160W	YDR093W	1.0	D
YBR160W	YDR097C	1.0	D
YBR160W	YDR217C	1.0	D
YBR160W	YDR239C	0.772	D
YBR160W	YDR293C	1.0	D
YBR160W	YDR348C	1.0	D
YBR160W	YDR379W	1.0	D
YBR160W	YDR389W	1.0	D
YBR160W	YER008C	1.0	D
YBR160W	YER129W	0.456	D
YBR160W	YER158C	1.0	D
YBR160W	YGR014W	0.18	D
YBR160W	YHR149C	1.0	D
YBR160W	YHR158C	1.0	D
YBR160W	YHR159W	1.0	D
YBR160W	YIL140W	1.0	D
YBR160W	YJL092W	1.0	D
YBR160W	YJR091C	1.0	D
YBR160W	YJR092W	0.844	D
YBR160W	YKL168C	1.0	D
YBR160W	YKR089C	1.0	D
YBR160W	YKR095W	1.0	D
YBR160W	YLL021W	1.0	D
YBR160W	YLR045C	1.0	D
YBR160W	YLR187W	1.0	D
YBR160W	YLR190W	1.0	D
YBR160W	YLR219W	1.0	D
YBR160W	YLR223C	1.0	D
YBR160W	YML027W	1.0	D
YBR160W	YML034W	1.0	D
YBR160W	YML119W	1.0	D
YBR160W	YMR005W	1.0	D
YBR160W	YMR273C	1.0	D
YBR160W	YNL102W	1.0	D
YBR160W	YNL233W	0.448	D
YBR160W	YNL309W	1.0	D
YBR160W	YOL036W	1.0	D
YBR160W	YOR081C	1.0	D
YBR160W	YOR127W	1.0	D
YBR160W	YPL115C	1.0	D
YBR160W	YPL155C	1.0	D
YDR420W	YER118C	1.0	U
YDR477W	YAR014C	1.0	D
YDR477W	YDR422C	1.0	D
YDR477W	YER040W	1.0	D
YDR477W	YGL023C	1.0	D
YDR477W	YGL253W	1.0	D
YDR477W	YHR073W	1.0	D
YDR477W	YHR103W	1.0	D
YDR477W	YHR133C	1.0	D
YDR477W	YHR205W	0.584	D
YDR477W	YIL044C	1.0	D
YDR477W	YIL107C	1.0	D
YDR477W	YML111W	1.0	D
YDR477W	YMR037C	1.0	D
YDR477W	YNR016C	1.0	D
YDR477W	YOR018W	1.0	D
YDR477W	YPR156C	1.0	D
YER075C	YBR160W	1.0	D
YER075C	YHR030C	1.0	D
YER118C	YGR014W	1.0	U
YER118C	YJL128C	1.0	U
YER118C	YLR452C	1.0	U
