Node,max_freq
1433B_HUMAN,0.16
1433E_HUMAN,0.16
1433G_HUMAN,0.16
1433S_HUMAN,0.12
1433T_HUMAN,0.16
2A5A_HUMAN,0.16
2A5E_HUMAN,0.16
2AAB_HUMAN,0.16
41_HUMAN,0.08
4EBP1_HUMAN,0.16
4EBP2_HUMAN,0.16
4EBP3_HUMAN,0.16
A0A5E8_HUMAN,0.08
A2AP_HUMAN,0.13
A2MG_HUMAN,0.12
A2RUM7_HUMAN,0.16
A4D0W0_HUMAN,0.12
A4D1G0_HUMAN,0.12
A4D2P0_HUMAN,0.12
A4D2P1_HUMAN,0.12
A4QPA9_HUMAN,0.16
A4_HUMAN,0.12
A8K379_HUMAN,0.12
A8K3Y2_HUMAN,0.16
A8K401_HUMAN,0.12
A8KAH9_HUMAN,0.12
AAAT_HUMAN,0.12
AAK1_HUMAN,0.16
AAKB1_HUMAN,0.16
AAPK1_HUMAN,0.16
ABCF2_HUMAN,0.08
ABHGA_HUMAN,0.08
ABL1_HUMAN,0.16
ABLM1_HUMAN,0.12
ACBP_HUMAN,0.12
ACD_HUMAN,0.08
ACINU_HUMAN,0.18
ACK1_HUMAN,0.08
ACOC_HUMAN,0.08
ACTB_HUMAN,0.16
ACTY_HUMAN,0.15
ADA15_HUMAN,0.12
ADRM1_HUMAN,0.16
AF9_HUMAN,0.16
AFF4_HUMAN,0.16
AKA10_HUMAN,0.16
AKAP1_HUMAN,0.16
AKT1_HUMAN,0.16
AKT2_HUMAN,0.12
AKTIP_HUMAN,0.08
ALBU_HUMAN,0.12
ALG3_HUMAN,0.08
ALKB5_HUMAN,0.12
AMPD2_HUMAN,0.12
AN32A_HUMAN,0.16
ANDR_HUMAN,0.12
ANLN_HUMAN,0.12
ANT3_HUMAN,0.12
APC1_HUMAN,0.16
APC_HUMAN,0.12
APOB_HUMAN,0.12
APTX_HUMAN,0.16
ARBK2_HUMAN,0.12
ARC1A_HUMAN,0.08
ARF6_HUMAN,0.08
ARFG1_HUMAN,0.08
