Uniprot	Prize
A9Z1X7	6.343096753401697
Q99081	6.341176225843277
Q14152	6.27885101201349
P69905	5.581820586044436
B0YIW2	5.581820586044436
H3BLZ8	5.477823239269644
P02787	5.334125824240241
Q9Y2R4	5.174845117869908
Q9UKV3	5.158390930270961
Q96DC7	5.086508399873105
P23142	5.086508399873105
P02765	4.898987333103724
P37802	4.898987333103724
Q9NZ63	4.898987333103724
Q9NRA8	4.898987333103724
Q92576	4.753524914278531
O60869	4.753524914278531
Q15388	4.753524914278531
Q9H1E3	4.753524914278531
Q9Y2W1	4.732635903457538
Q92922	4.649058136710955
P51957	4.649058136710955
Q9H6F5	4.649058136710955
O96013	4.649058136710955
Q5T5H1	4.649058136710955
P18031	4.649058136710955
Q9UQ35	4.649058136710955
Q6PKG0	4.649058136710955
Q13740	4.630059193615651
Q8N684	4.603945627430846
Q8WWM7	4.579952224685415
P61978	4.579952224685415
P49207	4.568697931367675
Q14738	4.5534393765206
A0A075B738	4.5534393765206
Q5JTH9	4.525949613864843
P02786	4.497219015813256
P52594	4.497219015813256
Q8NBM4	4.441375748603866
O60749	4.434437246356288
Q15027	4.4014845928926185
Q96BH1	4.4014845928926185
Q13243	4.401410413245214
Q99490	4.401410413245214
Q8IU60	4.401410413245214
P48634	4.401410413245214
G0XQ39	4.388776771651651
O43719	4.388776771651651
P06748	4.388776771651651
P16949	4.388776771651651
A0A087X0X3	4.388776771651651
P01106	4.371909274401765
Q7Z5J4	4.371909274401765
Q9NQC3	4.352386472972312
O75151	4.338487243836552
Q96T58	4.333357363918107
Q8TEA8	4.30234934029137
O14646	4.30234934029137
Q00403	4.30234934029137
Q49A26	4.30234934029137
F8VX04	4.296308796231895
P52756	4.256576053583022
Q93100	4.256576053583022
P29350	4.256576053583022
Q9NX58	4.250159505368735
Q9UIQ6	4.247227922154881
P62805	4.232255423400956
P02768	4.232255423400956
P68363	4.213646427303251
Q9HBD4	4.21131735632547
Q9Y2W2	4.208091431562529
Q86Y91	4.186742180098105
F8W0Q9	4.178368113075158
Q15154	4.178368113075158
Q01082	4.178368113075158
O75995	4.178296855671552
P38935	4.178296855671552
Q9H4L5	4.178296855671552
O15127	4.178296855671552
O15042	4.153933358800746
O75396	4.152515054060739
Q9BXB4	4.152515054060739
Q9Y2D5	4.152515054060739
P04004	4.120723433343331
B7ZL14	4.1120240197381825
P49790	4.111796391926524
P18858	4.09150923401631
P98179	4.075787794387851
Q14739	4.070993906506133
Q96HY6	4.070993906506133
E7ESS2	4.068226501317462
Q8NCD3	4.068226501317462
Q9BVC5	4.068226501317462
P20742	4.068150407429005
Q9Y5B9	4.066397214904209
Q9H814	4.064125401548631
P07766	4.0514356632856945
Q9UPP1	4.0514356632856945
P16383	4.0514356632856945
O75449	4.0514356632856945
P46013	4.0329974822334185
Q6JBY9	4.028916213096974
P11171	4.016588518455184
Q9Y6X9	4.0106948331092775
P29590	3.9920272692455234
Q13094	3.9918565901520284
A8MXP9	3.989000746414705
P04637	3.986936425829817
A0A0A0MTS7	3.9844445443191963
Q5TEC6	3.9606584627983965
Q9ULU4	3.960056522032911
M0QYC1	3.959480419609139
Q9Y314	3.954242484725559
Q9BTA9	3.9115798707362006
Q16718	3.9085984456601586
Q92609	3.8952393043169113
P06396	3.8704427712701053
P19823	3.8704427712701053
Q7Z5R6	3.8447012509953975
O75533	3.8418096567450464
Q13242	3.8418096567450464
Q9Y520	3.8396714264268956
Q6DN12	3.8396714264268956
P06493	3.833836160262491
Q9UKJ3	3.833836160262491
Q86V48	3.833836160262491
Q3KQU3	3.833836160262491
O14681	3.8328762818785185
Q8TBB5	3.8039477122984193
O94874	3.8039477122984193
Q01130	3.7961469535998678
P38159	3.7886902447131066
Q8WUM0	3.77276351857238
P42166	3.77276351857238
Q96DF8	3.77276351857238
Q16566	3.7641746801719926
O95231	3.753050839667004
Q14684	3.753050839667004
Q14677	3.7506192770941524
Q13428	3.736683906762221
O75791	3.7299875110273533
P17483	3.7295111160999688
Q04760	3.7265709378323812
Q13185	3.720245719156555
O60293	3.7103758360370795
Q6P3S6	3.7103758360370795
E9PCW1	3.703850278778894
P16150	3.703850278778894
Q9NWQ8	3.689478221370832
Q9Y2V2	3.689478221370832
O75494	3.689478221370832
Q9ULR3	3.689478221370832
Q8N999	3.687604005331092
Q9H4L4	3.6700241618698533
A0A0G2JNZ2	3.6620812847218955
Q66PJ3	3.661493292298151
Q07666	3.661493292298151
P42167	3.6477669357595794
B7ZKJ8	3.638536063809395
P08697	3.638536063809395
P01024	3.636573293729426
P02788	3.636573293729426
P49750	3.6324468985973306
Q9Y6G9	3.6324468985973306
P22626	3.6324468985973306
Q6UN15	3.631000353453727
P06400	3.6261879133906394
Q8ND56	3.6258385285883046
O95644	3.6234211665158367
P16402	3.6234211665158367
O14545	3.6070470127990064
Q14847	3.60639388539497
Q2KHT3	3.605691301576105
Q96D05	3.600840934114586
P27816	3.600840934114586
O95793	3.6004296174070483
M0QXA7	3.590874866823889
Q9H400	3.588092477415535
Q92667	3.575353156831935
Q14149	3.575353156831935
Q9NX00	3.575353156831935
E7EQT4	3.575353156831935
Q92733	3.575353156831935
P23588	3.575353156831935
P43487	3.57483498316194
O00571	3.5646459898505523
Q9Y4P8	3.563733838810669
Q6FI81	3.563733838810669
P33991	3.558661381189503
Q9UN86	3.54855319093477
Q92769	3.5455679145723518
Q7L2J0	3.5455679145723518
Q7Z460	3.5455679145723518
Q03252	3.5386476752234683
P02748	3.517204355209177
E7EQZ4	3.517204355209177
Q15172	3.516057833486526
P50750	3.516057833486526
O75152	3.5073572194945224
Q15149	3.4947885993017445
Q6P2E9	3.4947885993017445
Q12986	3.473581918505678
B7WPE2	3.4591302728778484
Q13619	3.4591302728778484
C9JV77	3.4436972171003175
O95625	3.4320497781880843
P17096	3.4320497781880843
Q9UHD8	3.426167015643338
Q14643	3.426167015643338
P62753	3.426167015643338
Q9UI08	3.4253419593217194
P08670	3.420157686166843
P25205	3.420089571135662
A0A0C4DGT3	3.420089571135662
Q5T200	3.420089571135662
P05543	3.4134039075493403
Q15063	3.4134039075493403
Q96GN5	3.413395827264063
Q9Y2H0	3.3960732772027424
Q12849	3.3816661060042184
Q9UK76	3.3774200891786763
Q9HCD5	3.3723304142338915
P28749	3.3693968233714098
P21291	3.3686268968392183
P02647	3.364265154316673
Q8WV93	3.3635831829667744
O15294	3.3635831829667744
P84085	3.3635831829667744
P02774	3.3635831829667744
Q12834	3.361243720000825
Q8N6H7	3.3573059164790053
Q13547	3.3532841978446974
O14974	3.3491198082764875
Q9HCN8	3.330633797129997
P55209	3.330633797129997
P20962	3.330633797129997
Q86VZ1	3.3287314734817297
P36955	3.324429183928491
Q13098	3.323302577866693
F8WA39	3.314748749215946
P24534	3.31126138683895
O94906	3.3082225123658904
Q96PQ6	3.3082225123658904
Q9BWD1	3.3022671199824436
Q15629	3.2912574672496326
Q9Y4F3	3.288347923069329
Q14671	3.288347923069329
Q9NQW6	3.288347923069329
Q9P270	3.288347923069329
Q7Z2W4	3.272291398277367
P26358	3.2722368623821514
Q8NDT2	3.2722368623821514
Q9BYW2	3.2722368623821514
Q5T5C0	3.2718809474354256
O76031	3.257136127624741
Q9HC52	3.246190181745755
Q9UPN4	3.2414042120620783
Q8TCJ2	3.210363373294698
Q2KHR2	3.205193553876435
P13807	3.2007310648785072
Q9UIG0	3.1998724251452253
P49792	3.1989946829844342
P57740	3.196758764445242
Q7L2H7	3.1961526678240886
Q9Y5L4	3.1961526678240886
Q3B7T1	3.1847296605498934
Q96PK6	3.183154820255834
O75145	3.183154820255834
Q9NYF8	3.1823255790915965
E9PFI5	3.1756661941859563
P15153	3.1756661941859563
Q14181	3.175144211906576
P63220	3.174664255184253
P62995	3.174225934200828
Q13574	3.1728751374511255
P06239	3.1728751374511255
Q9Y5J1	3.1728751374511255
Q15032	3.1721484673371654
J3KTL2	3.1715041737291343
Q92794	3.1715041737291343
Q04637	3.1715041737291343
B4DY08	3.1690920543894996
Q96N67	3.1624955108400425
Q9NYF3	3.15967829703216
Q9NQS7	3.1471331468741877
P60709	3.1461775953542954
P01023	3.1461775953542954
E9PGC8	3.1397706923157624
Q9H2K8	3.1289085051915912
P09693	3.1289085051915912
Q5VT52	3.116376614217901
Q32MZ4	3.102032133600785
Q9C0C9	3.1019722295154164
Q15287	3.1019722295154164
Q92615	3.095259829374129
Q13283	3.0931531761759805
Q6R327	3.0931531761759805
Q9NPQ8	3.092337880591247
O00303	3.092337880591247
Q15056	3.0893776814980676
P20700	3.084961563275176
Q8NG31	3.083225056717786
Q13111	3.083225056717786
Q14157	3.083225056717786
Q96T37	3.079092843273387
Q9H4E7	3.076175194305448
Q7Z417	3.074828125470814
Q12968	3.0522242573714626
C9JQE8	3.0379043550731732
Q9Y385	3.0379043550731732
P49915	3.0379043550731732
O43318	3.0379043550731732
Q9BZI7	3.0342391193114016
Q14692	3.02282602022253
P36915	3.02282602022253
F8W8D3	2.9832140640473046
P42677	2.977622478221382
P18615	2.973008187319182
Q92522	2.9702237590072222
Q9NU19	2.9643627794173604
Q14980	2.9597387852660297
P26368	2.956328120758978
Q86YV0	2.953670965958088
Q53EL6	2.949670994594568
Q75N03	2.948695724632309
Q06546	2.946523201718249
O60832	2.94584377575008
Q1MSJ5	2.9452258538077105
Q9NYP9	2.94442798895557
P17152	2.943849448129353
P00747	2.9394753087147185
A0A5E8	2.9339887280657373
I1E4Y6	2.931855559472614
Q99590	2.9220695108673267
J3KPD3	2.915933685531801
O60496	2.8984675262791995
Q9Y2U5	2.8984675262791995
Q5UIP0	2.8975798342405636
O00308	2.890106774640417
E7ERS3	2.8890984183579578
A1L0T0	2.866956886649348
A0FGR8	2.865073665371901
Q01196	2.8565507192330917
Q13595	2.8500962762960698
Q13435	2.848132942575471
Q9NVM6	2.846320230664685
Q92608	2.844747069977456
A6NMQ1	2.8423630443254257
P05452	2.8337809317709897
Q6XZF7	2.8284287032593665
Q9Y2I7	2.8273019635280763
P00492	2.8253881941849692
P16989	2.8225364630128356
Q13247	2.8168366046908906
P62750	2.8165975150198514
Q99729	2.815128862027224
O75190	2.8137191211840196
P55011	2.812551799348679
Q9BXI6	2.811200866390171
O00231	2.811200866390171
Q9UH03	2.8104626803482566
Q9BRA2	2.8104626803482566
F5H8D7	2.8097966330524224
P08238	2.8069947873220675
Q8IZD4	2.8069947873220675
P19827	2.800965276594735
Q8TC07	2.7988155040478158
Q8WY36	2.7988155040478158
Q06945	2.7981630786118004
Q9UI10	2.791681741619092
P61927	2.783492042451182
A0A0U1RRH7	2.776597240080683
P07996	2.776597240080683
Q8ND61	2.776597240080683
Q6KC79	2.770612115493291
Q6PJI9	2.764017995653381
Q15003	2.764017995653381
Q9C0C7	2.764017995653381
Q14966	2.7618986760443587
Q7LBC6	2.756032352923431
V9GYM8	2.7554518502099064
O14828	2.7554518502099064
B4DNK4	2.7513650187870247
Q96FS4	2.7498541397178258
E9PRY8	2.748192387366624
Q9Y3U8	2.748192387366624
Q9HB71	2.7445815636606206
O60784	2.73490058815137
Q9NYZ3	2.734508923866525
Q96L91	2.7227188983513972
Q00839	2.7225202323227324
P53634	2.720571593956306
Q13148	2.7057668980882266
Q13422	2.7057668980882266
Q7Z5L9	2.7042739817244033
P19174	2.68580624274679
Q99613	2.683883458110277
X6RAL5	2.683425139797931
P62310	2.683425139797931
P09496	2.683425139797931
Q92979	2.683425139797931
F8VP89	2.683343635778918
Q9HCE1	2.683343635778918
Q6P4F7	2.6755600065638943
Q6IQ49	2.6755600065638943
P50747	2.6755600065638943
P51452	2.6623500337271317
O95801	2.659548924352855
J3KNR0	2.6526279256871965
Q9H992	2.6526279256871965
Q96S55	2.6526279256871965
Q3ZCQ8	2.645423080459946
Q9NW64	2.6452762912024017
Q53GS9	2.6414861603166297
A0A0B4J1V8	2.6414861603166297
Q5SRN5	2.6414861603166297
Q15751	2.6414861603166297
A0A0G2JNG9	2.6407489036258385
A0A0C4DG17	2.636450195026626
Q9NWH9	2.6355354695575746
O75179	2.6335930431509538
P27540	2.6335930431509538
Q3V6T2	2.6300235507006127
Q8ND76	2.6300235507006127
Q92747	2.6281360080380636
Q8NE71	2.6267255596291195
P50914	2.6239594764232432
P26599	2.619400213363766
P48730	2.6186030722798415
Q9Y383	2.617137973772376
Q9UHB7	2.6132693051799123
O00418	2.6132693051799123
Q8NC44	2.6132693051799123
Q8TF74	2.6132693051799123
Q14209	2.6132693051799123
Q96B97	2.6132693051799123
Q9H307	2.6121402058732763
Q9NTI5	2.6117717924652677
P18621	2.6053811242125313
Q9Y277	2.6036317228636645
Q8NHG8	2.6001654139075976
Q8IWI9	2.6001654139075976
Q9NZI8	2.5999560805560513
P06753	2.5999560805560513
P31942	2.595383142690731
O43809	2.595383142690731
O75081	2.5912818476608996
A0A0A0MR07	2.59114805329053
Q9NR30	2.5819183786102844
O60264	2.578241211710358
Q9BRD0	2.575225488876934
P78414	2.570807213558573
P52732	2.56650045678402
P49796	2.566413060243313
Q5JSZ5	2.5647758193564574
P32519	2.5647758193564574
P19338	2.5544669526939883
P84103	2.5544669526939883
Q9UJU6	2.5544669526939883
Q8NFA0	2.5544669526939883
P10412	2.5544669526939883
P49585	2.5544669526939883
P41236	2.5513484499047223
P41440	2.5494209527174805
P29966	2.5460514662873575
P53801	2.5439828704279135
Q13469	2.5411209879727386
Q8WWQ0	2.5366587460915504
J3QR29	2.5366587460915504
O94804	2.536438961695345
Q96ST2	2.5346696973625504
Q9HBU6	2.5346696973625504
O43566	2.5296297240129304
Q86TB9	2.5294212306813417
P14625	2.5274187633699996
O75531	2.522093879674654
Q9BTD8	2.515469763793849
Q9UJK0	2.5017982747055387
A0A0A0MT22	2.496618461875316
P37108	2.481770230111558
O14641	2.4767706785392023
O75347	2.476518016902869
Q9BZE4	2.476441008409147
Q96GK7	2.4759465075681835
P61006	2.4721919462234396
O15047	2.4688159896459623
Q9Y4B5	2.4688159896459623
O76064	2.4688159896459623
