From	Entry	Reviewed	Entry Name
A0A087WUT6	A0A087WUT6		A0A087WUT6_HUMAN
A0A087WVP1	A0A087WVP1		A0A087WVP1_HUMAN
A0A087X0X3	A0A087X0X3		A0A087X0X3_HUMAN
A0A087X188	A0A087X188		A0A087X188_HUMAN
A0A0A0MT60	A0A0A0MT60		A0A0A0MT60_HUMAN
A0A0B4J2E5	A0A0B4J2E5		A0A0B4J2E5_HUMAN
A0A0C4DGZ1	A0A0C4DGZ1		A0A0C4DGZ1_HUMAN
A0A0D9SF60	A0A0D9SF60		A0A0D9SF60_HUMAN
A0A0D9SFK2	A0A0D9SFK2		A0A0D9SFK2_HUMAN
A0A0G2JH68	A0A0G2JH68		A0A0G2JH68_HUMAN
A0A0G2JNG9	A0A0G2JNG9		A0A0G2JNG9_HUMAN
C9J7T7	C9J7T7		C9J7T7_HUMAN
E7ERR0	E7ERR0		E7ERR0_HUMAN
J3KN59	J3KN59		J3KN59_HUMAN
J3KNN5	J3KNN5		J3KNN5_HUMAN
J3KQ96	J3KQ96		J3KQ96_HUMAN
M0QZI3	M0QZI3		M0QZI3_HUMAN
S4R347	S4R347		S4R347_HUMAN
