Name	Number of nodes	Number of undirected edges	Number of connected components	Nodes in prize
output/egfr/hiv-omics-benchmarking-05-omicsintegrator1-params-24TXQTT/pathway.txt	0	0	0	0
output/egfr/hiv-omics-benchmarking-05-omicsintegrator1-params-267VN2A/pathway.txt	0	0	0	0
output/egfr/hiv-omics-benchmarking-05-omicsintegrator1-params-2E35WRW/pathway.txt	1120	1119	1	846
output/egfr/hiv-omics-benchmarking-05-omicsintegrator1-params-2EPUWRK/pathway.txt	531	522	9	380
output/egfr/hiv-omics-benchmarking-05-omicsintegrator1-params-2OCZCKV/pathway.txt	0	0	0	0
output/egfr/hiv-omics-benchmarking-05-omicsintegrator1-params-2ZPNFD2/pathway.txt	0	0	0	0
output/egfr/hiv-omics-benchmarking-05-omicsintegrator1-params-3PNG36G/pathway.txt	0	0	0	0
output/egfr/hiv-omics-benchmarking-05-omicsintegrator1-params-3TNSWMX/pathway.txt	2	1	1	2
output/egfr/hiv-omics-benchmarking-05-omicsintegrator1-params-45VYMZW/pathway.txt	0	0	0	0
output/egfr/hiv-omics-benchmarking-05-omicsintegrator1-params-5UH7KL6/pathway.txt	2	1	1	2
output/egfr/hiv-omics-benchmarking-05-omicsintegrator1-params-663MOFZ/pathway.txt	531	522	9	380
output/egfr/hiv-omics-benchmarking-05-omicsintegrator1-params-6AMUE42/pathway.txt	1212	1211	1	899
output/egfr/hiv-omics-benchmarking-05-omicsintegrator1-params-6SJRYA7/pathway.txt	0	0	0	0
output/egfr/hiv-omics-benchmarking-05-omicsintegrator1-params-72S7VGM/pathway.txt	59	31	28	59
output/egfr/hiv-omics-benchmarking-05-omicsintegrator1-params-7HQZX7W/pathway.txt	0	0	0	0
output/egfr/hiv-omics-benchmarking-05-omicsintegrator1-params-7Q33R62/pathway.txt	0	0	0	0
output/egfr/hiv-omics-benchmarking-05-omicsintegrator1-params-A5QWCSG/pathway.txt	0	0	0	0
output/egfr/hiv-omics-benchmarking-05-omicsintegrator1-params-ACNJKQM/pathway.txt	6	3	3	6
output/egfr/hiv-omics-benchmarking-05-omicsintegrator1-params-AWSS4RE/pathway.txt	2	1	1	2
