Node1	Node2	Frequency	Direction
1433B_HUMAN	L7RRS6_HUMAN	0.16	U
1433B_HUMAN	WEE1_HUMAN	0.16	U
1433E_HUMAN	HDAC4_HUMAN	0.16	U
1433E_HUMAN	KIF1C_HUMAN	0.16	U
1433E_HUMAN	L7RRS6_HUMAN	0.16	U
1433G_HUMAN	CDK17_HUMAN	0.16	U
1433G_HUMAN	CLAP1_HUMAN	0.16	U
1433G_HUMAN	CLK3_HUMAN	0.16	U
1433G_HUMAN	DYR1A_HUMAN	0.16	U
1433G_HUMAN	EDC3_HUMAN	0.16	U
1433G_HUMAN	KIF1B_HUMAN	0.16	U
1433G_HUMAN	L7RRS6_HUMAN	0.16	U
1433G_HUMAN	LC7L2_HUMAN	0.16	U
1433G_HUMAN	LIPB1_HUMAN	0.16	U
1433G_HUMAN	NGAP_HUMAN	0.16	U
1433G_HUMAN	NOLC1_HUMAN	0.16	U
1433G_HUMAN	OSBL3_HUMAN	0.16	U
1433G_HUMAN	PR38B_HUMAN	0.16	U
1433G_HUMAN	SRS10_HUMAN	0.16	U
1433G_HUMAN	TR150_HUMAN	0.16	U
1433G_HUMAN	TRA2A_HUMAN	0.16	U
1433T_HUMAN	CBL_HUMAN	0.16	U
1433T_HUMAN	J3KPH8_HUMAN	0.16	U
1433T_HUMAN	PI4KB_HUMAN	0.16	U
2A5A_HUMAN	2AAB_HUMAN	0.16	U
2A5E_HUMAN	2AAB_HUMAN	0.16	U
2AAB_HUMAN	B3KUN1_HUMAN	0.16	U
4EBP1_HUMAN	IF4E_HUMAN	0.16	U
4EBP1_HUMAN	RPTOR_HUMAN	0.16	U
4EBP2_HUMAN	IF4E_HUMAN	0.16	U
4EBP3_HUMAN	IF4E_HUMAN	0.16	U
A2RUM7_HUMAN	MDM2_HUMAN	0.12	U
A2RUM7_HUMAN	N0E4C7_HUMAN	0.16	U
A4QPA9_HUMAN	L7RRS6_HUMAN	0.16	U
A4QPA9_HUMAN	M3K1_HUMAN	0.04	U
A4QPA9_HUMAN	MK01_HUMAN	0.16	U
A8K3Y2_HUMAN	M3K7_HUMAN	0.16	U
A8K3Y2_HUMAN	MK14_HUMAN	0.16	U
AAK1_HUMAN	NUMB_HUMAN	0.16	D
AAPK1_HUMAN	AAKB1_HUMAN	0.16	D
AAPK1_HUMAN	ACACA_HUMAN	0.16	D
AAPK1_HUMAN	GBF1_HUMAN	0.16	D
AAPK1_HUMAN	HS90A_HUMAN	0.04	U
AAPK1_HUMAN	IMA1_HUMAN	0.16	D
ABL1_HUMAN	ABL2_HUMAN	0.16	D
ABL1_HUMAN	ATR_HUMAN	0.16	D
ABL1_HUMAN	L7RT18_HUMAN	0.16	U
ACTB_HUMAN	EMD_HUMAN	0.16	U
ADRM1_HUMAN	PSMD2_HUMAN	0.16	U
AF9_HUMAN	CDK9_HUMAN	0.08	U
AF9_HUMAN	DOT1L_HUMAN	0.16	U
AFF4_HUMAN	CDK9_HUMAN	0.16	U
AKA10_HUMAN	B2R5T5_HUMAN	0.16	U
AKAP1_HUMAN	B2R5T5_HUMAN	0.16	U
AKT1_HUMAN	ACAP1_HUMAN	0.16	D
AKT1_HUMAN	ACINU_HUMAN	0.04	D
AKT1_HUMAN	AGAP2_HUMAN	0.04	D
AKT1_HUMAN	CHSP1_HUMAN	0.16	D
AKT1_HUMAN	FYV1_HUMAN	0.16	D
AKT1_HUMAN	GRDN_HUMAN	0.16	D
AKT1_HUMAN	HD_HUMAN	0.04	D
AKT1_HUMAN	MTOR_HUMAN	0.16	U
AKT1_HUMAN	PEA15_HUMAN	0.16	D
AKT1_HUMAN	PHF20_HUMAN	0.16	D
AKT1_HUMAN	TBCD4_HUMAN	0.16	D
AKT1_HUMAN	TERA_HUMAN	0.04	D
AKT1_HUMAN	WNK1_HUMAN	0.16	D
AN32A_HUMAN	H31_HUMAN	0.16	U
APC1_HUMAN	B4DL80_HUMAN	0.16	U
APTX_HUMAN	XRCC1_HUMAN	0.16	U
ARHG7_HUMAN	GIT1_HUMAN	0.08	U
ARHG7_HUMAN	PAK1_HUMAN	0.16	U
ATF2_HUMAN	JUN_HUMAN	0.16	U
ATM_HUMAN	BAG6_HUMAN	0.16	D
ATM_HUMAN	BRCA1_HUMAN	0.12	D
ATM_HUMAN	DBF4A_HUMAN	0.16	D
ATM_HUMAN	MCM3_HUMAN	0.04	D
ATM_HUMAN	PRKDC_HUMAN	0.16	D
ATM_HUMAN	RIF1_HUMAN	0.16	D
ATM_HUMAN	SLX4_HUMAN	0.16	D
ATM_HUMAN	SMC1A_HUMAN	0.16	D
ATM_HUMAN	UBR5_HUMAN	0.16	D
ATN1_HUMAN	MTG8_HUMAN	0.16	U
ATN1_HUMAN	RERE_HUMAN	0.16	U
ATRX_HUMAN	DAXX_HUMAN	0.16	U
ATR_HUMAN	CNOT2_HUMAN	0.16	D
ATR_HUMAN	F5H0R1_HUMAN	0.16	D
ATR_HUMAN	FACD2_HUMAN	0.16	D
ATR_HUMAN	MRP_HUMAN	0.16	D
ATR_HUMAN	PSF2_HUMAN	0.16	D
AURKB_HUMAN	ATM_HUMAN	0.16	D
AURKB_HUMAN	DSN1_HUMAN	0.16	D
AURKB_HUMAN	H33_HUMAN	0.16	D
AURKB_HUMAN	SUMO1_HUMAN	0.16	U
AXIN1_HUMAN	CTNB1_HUMAN	0.16	U
AXIN1_HUMAN	GSK3B_HUMAN	0.16	U
B0LPE5_HUMAN	B3KUN1_HUMAN	0.16	U
B0LPE5_HUMAN	GSK3B_HUMAN	0.16	U
B0LPE5_HUMAN	MDM2_HUMAN	0.16	U
B0LPE5_HUMAN	MTOR_HUMAN	0.16	U
B2CL2_HUMAN	BAD_HUMAN	0.16	U
B2R4R0_HUMAN	BPTF_HUMAN	0.16	U
B2R4R0_HUMAN	CENPA_HUMAN	0.16	U
B2R4R0_HUMAN	EP300_HUMAN	0.16	U
B2R4R0_HUMAN	SMCA5_HUMAN	0.16	U
B2R5T5_HUMAN	KAPCA_HUMAN	0.16	U
B2RBV7_HUMAN	CAND1_HUMAN	0.04	U
B2RBV7_HUMAN	DDB1_HUMAN	0.16	U
B2RBV7_HUMAN	PHIP_HUMAN	0.16	U
B3KUN1_HUMAN	IGBP1_HUMAN	0.16	U
B4DL80_HUMAN	CDC20_HUMAN	0.16	U
B4DPT1_HUMAN	KMT2C_HUMAN	0.16	U
B4DPT1_HUMAN	WDR5_HUMAN	0.16	U
B4DQB3_HUMAN	NCOA1_HUMAN	0.16	U
B4DQB3_HUMAN	SND1_HUMAN	0.16	U
B7Z3D6_HUMAN	CCNB1_HUMAN	0.16	U
B7Z3D6_HUMAN	H15_HUMAN	0.16	U
B7Z3D6_HUMAN	RB_HUMAN	0.08	U
BAD_HUMAN	D0PNI1_HUMAN	0.12	U
BAZ1B_HUMAN	SMCA5_HUMAN	0.16	U
BICD1_HUMAN	GSK3B_HUMAN	0.16	U
BIRC5_HUMAN	BOREA_HUMAN	0.12	U
BLM_HUMAN	MLH1_HUMAN	0.16	U
BLM_HUMAN	P53_HUMAN	0.16	U
BMI1_HUMAN	CBX8_HUMAN	0.16	U
BMI1_HUMAN	RING2_HUMAN	0.16	U
BOREA_HUMAN	INCE_HUMAN	0.24	U
BRAP_HUMAN	RASH_HUMAN	0.16	U
BRCA1_HUMAN	FANCJ_HUMAN	0.16	U
BRCA1_HUMAN	MYC_HUMAN	0.08	U
BRCA2_HUMAN	RAD51_HUMAN	0.16	U
BRPF1_HUMAN	KAT6A_HUMAN	0.24	U
BTF3_HUMAN	G4XH65_HUMAN	0.16	U
BUD13_HUMAN	RBMX2_HUMAN	0.32	U
CAF1A_HUMAN	PCNA_HUMAN	0.16	U
CAF1B_HUMAN	H31_HUMAN	0.16	U
CAND1_HUMAN	CUL1_HUMAN	0.04	U
CAND1_HUMAN	CUL4A_HUMAN	0.04	U
CASP3_HUMAN	CH60_HUMAN	0.16	U
CASP3_HUMAN	XIAP_HUMAN	0.16	U
CASP9_HUMAN	XIAP_HUMAN	0.04	U
CBL_HUMAN	CD2AP_HUMAN	0.16	U
CBL_HUMAN	CRKL_HUMAN	0.16	U
CBL_HUMAN	EGFR_HUMAN	0.16	U
CBL_HUMAN	L7RT18_HUMAN	0.16	U
CBL_HUMAN	NCK1_HUMAN	0.16	U
CBL_HUMAN	P85A_HUMAN	0.16	U
CBL_HUMAN	PLCG1_HUMAN	0.16	U
CBL_HUMAN	UB2D2_HUMAN	0.16	U
CBX1_HUMAN	EMSY_HUMAN	0.16	U
CBX1_HUMAN	H31_HUMAN	0.16	U
CBX5_HUMAN	H31_HUMAN	0.16	U
CBX5_HUMAN	LBR_HUMAN	0.16	U
CBX5_HUMAN	NIPBL_HUMAN	0.16	U
CBX5_HUMAN	TIF1B_HUMAN	0.16	U
CBX8_HUMAN	MOV10_HUMAN	0.16	U
