Name	Number of nodes	Number of undirected edges	Number of connected components	Nodes in prize	Nodes in sources	Nodes in targets
output/hiv-omicsintegrator1-params-2G7CMNV/pathway.txt	51	27	24	51	0	0
output/hiv-omicsintegrator1-params-2NFVB7W/pathway.txt	8	4	4	8	0	0
output/hiv-omicsintegrator1-params-2NKIR7L/pathway.txt	21	11	10	21	0	0
output/hiv-omicsintegrator1-params-2NL4RDV/pathway.txt	0	0	0	0	0	0
output/hiv-omicsintegrator1-params-422WXNM/pathway.txt	10	5	5	10	0	0
output/hiv-omicsintegrator1-params-4G6HWVJ/pathway.txt	1196	1195	1	891	0	0
output/hiv-omicsintegrator1-params-4S6QYO2/pathway.txt	1126	1125	1	849	0	0
output/hiv-omicsintegrator1-params-5E3SBY6/pathway.txt	0	0	0	0	0	0
output/hiv-omicsintegrator1-params-5E56FMM/pathway.txt	0	0	0	0	0	0
output/hiv-omicsintegrator1-params-5I2I6FM/pathway.txt	0	0	0	0	0	0
output/hiv-omicsintegrator1-params-5OAENKB/pathway.txt	0	0	0	0	0	0
output/hiv-omicsintegrator1-params-5PV5R4M/pathway.txt	0	0	0	0	0	0
output/hiv-omicsintegrator1-params-5YCE7NJ/pathway.txt	1217	1216	1	899	0	0
output/hiv-omicsintegrator1-params-6BGQ7PL/pathway.txt	2	1	1	2	0	0
output/hiv-omicsintegrator1-params-6ZYKM5I/pathway.txt	536	527	9	380	0	0
output/hiv-omicsintegrator1-params-7F2UHHY/pathway.txt	0	0	0	0	0	0
output/hiv-omicsintegrator1-params-7JTTPPE/pathway.txt	6	3	3	6	0	0
output/hiv-omicsintegrator1-params-7M4YEVF/pathway.txt	2	1	1	2	0	0
output/hiv-omicsintegrator1-params-7VVKFFW/pathway.txt	0	0	0	0	0	0
output/hiv-omicsintegrator1-params-BF65QO6/pathway.txt	2	1	1	2	0	0
output/hiv-omicsintegrator1-params-BHLRRSP/pathway.txt	0	0	0	0	0	0
output/hiv-omicsintegrator1-params-BK5Y6AV/pathway.txt	0	0	0	0	0	0
output/hiv-omicsintegrator1-params-BS7GMXF/pathway.txt	25	13	12	25	0	0
output/hiv-omicsintegrator1-params-C4N3KE7/pathway.txt	1196	1195	1	891	0	0
output/hiv-omicsintegrator1-params-CML462S/pathway.txt	0	0	0	0	0	0
output/hiv-omicsintegrator1-params-CUD2SWJ/pathway.txt	6	3	3	6	0	0
output/hiv-omicsintegrator1-params-CXULPPY/pathway.txt	0	0	0	0	0	0
output/hiv-omicsintegrator1-params-D2CFK7Y/pathway.txt	0	0	0	0	0	0
output/hiv-omicsintegrator1-params-D7XEWKT/pathway.txt	10	5	5	10	0	0
output/hiv-omicsintegrator1-params-DLZY2UU/pathway.txt	0	0	0	0	0	0
output/hiv-omicsintegrator1-params-DXTK7ZU/pathway.txt	21	11	10	21	0	0
output/hiv-omicsintegrator1-params-E4PGYJE/pathway.txt	0	0	0	0	0	0
output/hiv-omicsintegrator1-params-EAX635F/pathway.txt	96	56	40	96	0	0
output/hiv-omicsintegrator1-params-EBEEP6T/pathway.txt	1126	1125	1	849	0	0
output/hiv-omicsintegrator1-params-EE47ACK/pathway.txt	0	0	0	0	0	0
output/hiv-omicsintegrator1-params-EKFAHXJ/pathway.txt	0	0	0	0	0	0
output/hiv-omicsintegrator1-params-EONPKPH/pathway.txt	536	527	9	380	0	0
output/hiv-omicsintegrator1-params-F2GW4FM/pathway.txt	0	0	0	0	0	0
output/hiv-omicsintegrator1-params-FYCKMYA/pathway.txt	0	0	0	0	0	0
output/hiv-omicsintegrator1-params-GB464QK/pathway.txt	0	0	0	0	0	0
output/hiv-omicsintegrator1-params-GJJHAWR/pathway.txt	0	0	0	0	0	0
output/hiv-omicsintegrator1-params-H766NCA/pathway.txt	1126	1125	1	849	0	0
output/hiv-omicsintegrator1-params-HXBNO4P/pathway.txt	0	0	0	0	0	0
output/hiv-omicsintegrator1-params-I6LVYQ7/pathway.txt	59	31	28	59	0	0
output/hiv-omicsintegrator1-params-J5PMCRQ/pathway.txt	2	1	1	2	0	0
output/hiv-omicsintegrator1-params-JZPC2XQ/pathway.txt	8	4	4	8	0	0
output/hiv-omicsintegrator1-params-K2C44YG/pathway.txt	0	0	0	0	0	0
output/hiv-omicsintegrator1-params-KPIH42T/pathway.txt	0	0	0	0	0	0
output/hiv-omicsintegrator1-params-L2HU4XD/pathway.txt	2	1	1	2	0	0
output/hiv-omicsintegrator1-params-L4IUEVV/pathway.txt	0	0	0	0	0	0
output/hiv-omicsintegrator1-params-L7CHKLI/pathway.txt	59	31	28	59	0	0
output/hiv-omicsintegrator1-params-LIECIRU/pathway.txt	0	0	0	0	0	0
output/hiv-omicsintegrator1-params-LIWRFPS/pathway.txt	0	0	0	0	0	0
output/hiv-omicsintegrator1-params-LW2V34U/pathway.txt	0	0	0	0	0	0
output/hiv-omicsintegrator1-params-LWUMKKP/pathway.txt	10	5	5	10	0	0
output/hiv-omicsintegrator1-params-MKUCXSX/pathway.txt	0	0	0	0	0	0
