algorithm	PC1	PC2
hiv060-omicsintegrator1-params-NQQFMSW	-5.758210890527096	-3.933514742723412
hiv060-omicsintegrator1-params-7F2UHHY	-5.758210890527096	-3.933514742723412
hiv060-omicsintegrator1-params-DLZY2UU	-5.758210890527096	-3.933514742723412
hiv060-omicsintegrator1-params-F2GW4FM	-5.758210890527096	-3.933514742723412
hiv060-omicsintegrator1-params-GJJHAWR	-5.758210890527096	-3.933514742723412
hiv060-omicsintegrator1-params-EKFAHXJ	-5.758210890527096	-3.933514742723412
hiv060-omicsintegrator1-params-O245LF3	-5.758210890527096	-3.933514742723412
hiv060-omicsintegrator1-params-K2C44YG	-5.758210890527096	-3.933514742723412
hiv060-omicsintegrator1-params-MKUCXSX	-5.758210890527096	-3.933514742723412
hiv060-omicsintegrator1-params-CXULPPY	-5.758210890527096	-3.933514742723412
hiv060-omicsintegrator1-params-D2CFK7Y	-5.758210890527096	-3.933514742723412
hiv060-omicsintegrator1-params-GB464QK	-5.758210890527096	-3.933514742723412
hiv060-omicsintegrator1-params-QLA7PZM	-5.758210890527096	-3.933514742723412
hiv060-omicsintegrator1-params-BK5Y6AV	-5.758210890527096	-3.933514742723412
hiv060-omicsintegrator1-params-E4PGYJE	-5.758210890527096	-3.933514742723412
hiv060-omicsintegrator1-params-YH53Z7I	-5.758210890527096	-3.933514742723412
hiv060-omicsintegrator1-params-V6TRFD5	-5.758210890527096	-3.933514742723412
hiv060-omicsintegrator1-params-VNZPBKY	-5.758210890527096	-3.933514742723412
hiv060-omicsintegrator1-params-HXBNO4P	-5.758210890527096	-3.933514742723412
hiv060-omicsintegrator1-params-OW2ZQVJ	-5.758210890527096	-3.933514742723412
hiv060-omicsintegrator1-params-UG35EN3	-5.758210890527096	-3.933514742723412
hiv060-omicsintegrator1-params-7VVKFFW	-5.758210890527096	-3.933514742723412
hiv060-omicsintegrator1-params-Y7FVD5Y	-5.758210890527096	-3.933514742723412
hiv060-omicsintegrator1-params-X7OTY3Z	-5.758210890527096	-3.933514742723412
hiv060-omicsintegrator1-params-6ZYKM5I	138.96696619352736	0.19952348044886037
hiv060-omicsintegrator1-params-LW2V34U	-5.758210890527096	-3.933514742723412
hiv060-omicsintegrator1-params-5PV5R4M	-5.758210890527096	-3.933514742723412
hiv060-omicsintegrator1-params-5OAENKB	-5.758210890527096	-3.933514742723412
hiv060-omicsintegrator1-params-4S6QYO2	-5.758210890527096	-3.933514742723412
hiv060-omicsintegrator1-params-SUBCPCC	-5.779176915181483	-3.7999947541907986
hiv060-omicsintegrator1-params-WERUDAF	-5.769180254643629	-3.874905833209996
hiv060-omicsintegrator1-params-TQAZEEK	-5.758210890527096	-3.933514742723412
hiv060-omicsintegrator1-params-C4N3KE7	-5.758210890527096	-3.933514742723412
hiv060-omicsintegrator1-params-J5PMCRQ	-5.788221970655945	-3.725548590481882
hiv060-omicsintegrator1-params-2NL4RDV	-5.769180254643629	-3.874905833209996
hiv060-omicsintegrator1-params-OJVVFSK	-5.758210890527096	-3.933514742723412
hiv060-omicsintegrator1-params-VZM7OSX	-5.758210890527096	-3.933514742723412
hiv060-omicsintegrator1-params-UAYBOVK	-5.778225310118091	-3.8004596695010795
hiv060-omicsintegrator1-params-XJNUGEC	-5.769180254643629	-3.874905833209996
hiv060-omicsintegrator1-params-5E56FMM	-5.758210890527096	-3.933514742723412
hiv060-omicsintegrator1-params-BHLRRSP	-5.758210890527096	-3.933514742723412
hiv060-omicsintegrator1-params-VGIOBOX	-5.758210890527096	-3.933514742723412
hiv060-omicsintegrator1-params-LIWRFPS	-5.758210890527096	-3.933514742723412
hiv060-omicsintegrator1-params-UWSVCXO	-5.758210890527096	-3.933514742723412
hiv060-omicsintegrator1-params-EONPKPH	138.96696619352736	0.19952348044886037
hiv060-omicsintegrator1-params-6BGQ7PL	-5.580574041153288	-3.428846367835781
hiv060-omicsintegrator1-params-5I2I6FM	-5.758210890527096	-3.933514742723412
