algorithm	PC1	PC2
hiv060-omicsintegrator1-params-NQQFMSW	-5.758210890527117	-3.9335147427233896
hiv060-omicsintegrator1-params-7F2UHHY	-5.758210890527117	-3.9335147427233896
hiv060-omicsintegrator1-params-DLZY2UU	-5.758210890527117	-3.9335147427233896
hiv060-omicsintegrator1-params-F2GW4FM	-5.758210890527117	-3.9335147427233896
hiv060-omicsintegrator1-params-GJJHAWR	-5.758210890527117	-3.9335147427233896
hiv060-omicsintegrator1-params-EKFAHXJ	-5.758210890527117	-3.9335147427233896
hiv060-omicsintegrator1-params-O245LF3	-5.758210890527117	-3.9335147427233896
hiv060-omicsintegrator1-params-K2C44YG	-5.758210890527117	-3.9335147427233896
hiv060-omicsintegrator1-params-MKUCXSX	-5.758210890527117	-3.9335147427233896
hiv060-omicsintegrator1-params-CXULPPY	-5.758210890527117	-3.9335147427233896
hiv060-omicsintegrator1-params-D2CFK7Y	-5.758210890527117	-3.9335147427233896
hiv060-omicsintegrator1-params-GB464QK	-5.758210890527117	-3.9335147427233896
hiv060-omicsintegrator1-params-QLA7PZM	-5.758210890527117	-3.9335147427233896
hiv060-omicsintegrator1-params-BK5Y6AV	-5.758210890527117	-3.9335147427233896
hiv060-omicsintegrator1-params-E4PGYJE	-5.758210890527117	-3.9335147427233896
hiv060-omicsintegrator1-params-YH53Z7I	-5.758210890527117	-3.9335147427233896
hiv060-omicsintegrator1-params-V6TRFD5	-5.758210890527117	-3.9335147427233896
hiv060-omicsintegrator1-params-VNZPBKY	-5.758210890527117	-3.9335147427233896
hiv060-omicsintegrator1-params-HXBNO4P	-5.758210890527117	-3.9335147427233896
hiv060-omicsintegrator1-params-OW2ZQVJ	-5.758210890527117	-3.9335147427233896
hiv060-omicsintegrator1-params-UG35EN3	-5.758210890527117	-3.9335147427233896
hiv060-omicsintegrator1-params-7VVKFFW	-5.758210890527117	-3.9335147427233896
hiv060-omicsintegrator1-params-Y7FVD5Y	-5.758210890527117	-3.9335147427233896
hiv060-omicsintegrator1-params-X7OTY3Z	-5.758210890527117	-3.9335147427233896
hiv060-omicsintegrator1-params-6ZYKM5I	138.9669661935279	0.19952348044810275
hiv060-omicsintegrator1-params-LW2V34U	-5.758210890527117	-3.9335147427233896
hiv060-omicsintegrator1-params-5PV5R4M	-5.758210890527117	-3.9335147427233896
hiv060-omicsintegrator1-params-5OAENKB	-5.758210890527117	-3.9335147427233896
hiv060-omicsintegrator1-params-4S6QYO2	-5.758210890527117	-3.9335147427233896
hiv060-omicsintegrator1-params-SUBCPCC	-5.779176915181504	-3.799994754190774
hiv060-omicsintegrator1-params-WERUDAF	-5.769180254643651	-3.874905833209973
hiv060-omicsintegrator1-params-TQAZEEK	-5.758210890527117	-3.9335147427233896
hiv060-omicsintegrator1-params-C4N3KE7	-5.758210890527117	-3.9335147427233896
hiv060-omicsintegrator1-params-J5PMCRQ	-5.788221970655965	-3.7255485904818566
hiv060-omicsintegrator1-params-2NL4RDV	-5.769180254643651	-3.874905833209973
hiv060-omicsintegrator1-params-OJVVFSK	-5.758210890527117	-3.9335147427233896
hiv060-omicsintegrator1-params-VZM7OSX	-5.758210890527117	-3.9335147427233896
hiv060-omicsintegrator1-params-UAYBOVK	-5.778225310118112	-3.800459669501055
hiv060-omicsintegrator1-params-XJNUGEC	-5.769180254643651	-3.874905833209973
hiv060-omicsintegrator1-params-5E56FMM	-5.758210890527117	-3.9335147427233896
hiv060-omicsintegrator1-params-BHLRRSP	-5.758210890527117	-3.9335147427233896
hiv060-omicsintegrator1-params-VGIOBOX	-5.758210890527117	-3.9335147427233896
hiv060-omicsintegrator1-params-LIWRFPS	-5.758210890527117	-3.9335147427233896
hiv060-omicsintegrator1-params-UWSVCXO	-5.758210890527117	-3.9335147427233896
hiv060-omicsintegrator1-params-EONPKPH	138.9669661935279	0.19952348044810275
hiv060-omicsintegrator1-params-6BGQ7PL	-5.580574041153306	-3.4288463678357575
hiv060-omicsintegrator1-params-5I2I6FM	-5.758210890527117	-3.9335147427233896
hiv060-omicsintegrator1-params-XAQM3RR	-5.758210890527117	-3.9335147427233896
hiv060-omicsintegrator1-params-EBEEP6T	-5.758210890527117	-3.9335147427233896
hiv060-omicsintegrator1-params-W2DOD4H	-5.91737855246933	1.7249882191196815
hiv060-omicsintegrator1-params-BF65QO6	-5.788933543749448	-3.718758257625822
hiv060-omicsintegrator1-params-XOXO56K	-5.769180254643651	-3.874905833209973
hiv060-omicsintegrator1-params-4G6HWVJ	-5.758210890527117	-3.9335147427233896
hiv060-omicsintegrator1-params-UNEWALJ	-5.937301538967738	3.0531797169520623
hiv060-omicsintegrator1-params-Y5XCKB2	-5.79797859922391	-3.6443120939169047
hiv060-omicsintegrator1-params-KPIH42T	-5.769180254643651	-3.874905833209973
hiv060-omicsintegrator1-params-5YCE7NJ	-5.758210890527117	-3.9335147427233896
hiv060-omicsintegrator1-params-DXTK7ZU	-5.986962010652851	4.341348734360054
hiv060-omicsintegrator1-params-SHAKIBL	-5.79797859922391	-3.6443120939169047
hiv060-omicsintegrator1-params-VXGL3EA	-5.769180254643651	-3.874905833209973
hiv060-omicsintegrator1-params-WCP7GIZ	-5.758210890527117	-3.9335147427233896
hiv060-omicsintegrator1-params-L4IUEVV	-5.758210890527117	-3.9335147427233896
hiv060-omicsintegrator1-params-PMY3CCQ	-5.758210890527117	-3.9335147427233896
hiv060-omicsintegrator1-params-LIECIRU	-5.758210890527117	-3.9335147427233896
hiv060-omicsintegrator1-params-UA2CL6Z	138.9669661935279	0.19952348044810275
hiv060-omicsintegrator1-params-CUD2SWJ	-5.377238748608878	-2.2711629904698856
hiv060-omicsintegrator1-params-EE47ACK	-5.758210890527117	-3.9335147427233896
hiv060-omicsintegrator1-params-5E3SBY6	-5.758210890527117	-3.9335147427233896
hiv060-omicsintegrator1-params-NFOUAB6	-5.758210890527117	-3.9335147427233896
hiv060-omicsintegrator1-params-2G7CMNV	-6.231858739659382	21.77036563459523
hiv060-omicsintegrator1-params-422WXNM	-5.888786189358292	-2.477022695330406
hiv060-omicsintegrator1-params-R3TNGIE	-5.807783048949611	-3.5329909351440705
hiv060-omicsintegrator1-params-VNZUFFN	-5.758210890527117	-3.9335147427233896
hiv060-omicsintegrator1-params-L7CHKLI	-6.4145587478683055	30.16607114642683
hiv060-omicsintegrator1-params-LWUMKKP	-5.914934565437481	-2.166368183754139
hiv060-omicsintegrator1-params-L2HU4XD	-5.825525863935795	-3.3606641198036162
hiv060-omicsintegrator1-params-OA2LKJB	-5.758210890527117	-3.9335147427233896
hiv060-omicsintegrator1-params-I6LVYQ7	-6.494215468414076	33.526817287145555
hiv060-omicsintegrator1-params-D7XEWKT	-5.906473122376467	-1.620454483823666
hiv060-omicsintegrator1-params-7M4YEVF	-5.825525863935795	-3.3606641198036162
hiv060-omicsintegrator1-params-ZZYQSRD	-5.758210890527117	-3.9335147427233896
hiv060-omicsintegrator1-params-WQ6V5PX	-5.758210890527117	-3.9335147427233896
