Name	Number of nodes	Number of undirected edges	Number of connected components	Nodes in prize
output/egfr/hiv-omics-benchmarking-060-omicsintegrator1-params-24TXQTT/pathway.txt	0	0	0	0
output/egfr/hiv-omics-benchmarking-060-omicsintegrator1-params-267VN2A/pathway.txt	0	0	0	0
output/egfr/hiv-omics-benchmarking-060-omicsintegrator1-params-2E35WRW/pathway.txt	1667	1666	1	1363
output/egfr/hiv-omics-benchmarking-060-omicsintegrator1-params-2EPUWRK/pathway.txt	829	809	20	660
output/egfr/hiv-omics-benchmarking-060-omicsintegrator1-params-2OCZCKV/pathway.txt	0	0	0	0
output/egfr/hiv-omics-benchmarking-060-omicsintegrator1-params-2ZPNFD2/pathway.txt	0	0	0	0
output/egfr/hiv-omics-benchmarking-060-omicsintegrator1-params-3PNG36G/pathway.txt	0	0	0	0
output/egfr/hiv-omics-benchmarking-060-omicsintegrator1-params-3TNSWMX/pathway.txt	4	2	2	4
output/egfr/hiv-omics-benchmarking-060-omicsintegrator1-params-45VYMZW/pathway.txt	0	0	0	0
output/egfr/hiv-omics-benchmarking-060-omicsintegrator1-params-5UH7KL6/pathway.txt	6	3	3	6
output/egfr/hiv-omics-benchmarking-060-omicsintegrator1-params-663MOFZ/pathway.txt	829	809	20	660
output/egfr/hiv-omics-benchmarking-060-omicsintegrator1-params-6AMUE42/pathway.txt	1775	1774	1	1425
output/egfr/hiv-omics-benchmarking-060-omicsintegrator1-params-6SJRYA7/pathway.txt	0	0	0	0
output/egfr/hiv-omics-benchmarking-060-omicsintegrator1-params-72S7VGM/pathway.txt	226	154	72	226
output/egfr/hiv-omics-benchmarking-060-omicsintegrator1-params-7HQZX7W/pathway.txt	0	0	0	0
output/egfr/hiv-omics-benchmarking-060-omicsintegrator1-params-7Q33R62/pathway.txt	0	0	0	0
output/egfr/hiv-omics-benchmarking-060-omicsintegrator1-params-A5QWCSG/pathway.txt	0	0	0	0
output/egfr/hiv-omics-benchmarking-060-omicsintegrator1-params-ACNJKQM/pathway.txt	25	13	12	25
output/egfr/hiv-omics-benchmarking-060-omicsintegrator1-params-AWSS4RE/pathway.txt	8	4	4	8
output/egfr/hiv-omics-benchmarking-060-omicsintegrator1-params-BCWIHOB/pathway.txt	2	1	1	2
output/egfr/hiv-omics-benchmarking-060-omicsintegrator1-params-BT43SSB/pathway.txt	91	52	39	91
output/egfr/hiv-omics-benchmarking-060-omicsintegrator1-params-BWBJXCI/pathway.txt	0	0	0	0
output/egfr/hiv-omics-benchmarking-060-omicsintegrator1-params-CFRLPFS/pathway.txt	344	258	86	344
output/egfr/hiv-omics-benchmarking-060-omicsintegrator1-params-CLSW7IX/pathway.txt	2	1	1	2
output/egfr/hiv-omics-benchmarking-060-omicsintegrator1-params-CMNB4CQ/pathway.txt	829	809	20	660
output/egfr/hiv-omics-benchmarking-060-omicsintegrator1-params-CONXCX6/pathway.txt	1765	1764	1	1417
output/egfr/hiv-omics-benchmarking-060-omicsintegrator1-params-CPONR2V/pathway.txt	0	0	0	0
