algorithm	PC1	PC2
hiv-omicsintegrator1-params-NQQFMSW	-13.581329648119588	-1.5439976955282013
hiv-omicsintegrator1-params-7F2UHHY	-13.581329648119588	-1.5439976955282013
hiv-omicsintegrator1-params-DLZY2UU	-13.581329648119588	-1.5439976955282013
hiv-omicsintegrator1-params-F2GW4FM	-13.581329648119588	-1.5439976955282013
hiv-omicsintegrator1-params-GJJHAWR	-13.581329648119588	-1.5439976955282013
hiv-omicsintegrator1-params-EKFAHXJ	-13.581329648119588	-1.5439976955282013
hiv-omicsintegrator1-params-O245LF3	-13.581329648119588	-1.5439976955282013
hiv-omicsintegrator1-params-K2C44YG	-13.581329648119588	-1.5439976955282013
hiv-omicsintegrator1-params-MKUCXSX	-13.581329648119588	-1.5439976955282013
hiv-omicsintegrator1-params-CXULPPY	-13.581329648119588	-1.5439976955282013
hiv-omicsintegrator1-params-D2CFK7Y	-13.581329648119588	-1.5439976955282013
hiv-omicsintegrator1-params-GB464QK	-13.581329648119588	-1.5439976955282013
hiv-omicsintegrator1-params-QLA7PZM	-13.581329648119588	-1.5439976955282013
hiv-omicsintegrator1-params-BK5Y6AV	-13.581329648119588	-1.5439976955282013
hiv-omicsintegrator1-params-E4PGYJE	-13.581329648119588	-1.5439976955282013
hiv-omicsintegrator1-params-YH53Z7I	-13.581329648119588	-1.5439976955282013
hiv-omicsintegrator1-params-V6TRFD5	-13.581329648119588	-1.5439976955282013
hiv-omicsintegrator1-params-VNZPBKY	-13.581329648119588	-1.5439976955282013
hiv-omicsintegrator1-params-HXBNO4P	-13.581329648119588	-1.5439976955282013
hiv-omicsintegrator1-params-OW2ZQVJ	-13.581329648119588	-1.5439976955282013
hiv-omicsintegrator1-params-UG35EN3	-13.581329648119588	-1.5439976955282013
hiv-omicsintegrator1-params-7VVKFFW	-13.581329648119588	-1.5439976955282013
hiv-omicsintegrator1-params-Y7FVD5Y	-13.581329648119588	-1.5439976955282013
hiv-omicsintegrator1-params-X7OTY3Z	-13.581329648119588	-1.5439976955282013
hiv-omicsintegrator1-params-6ZYKM5I	25.076603162559366	54.418154665304584
hiv-omicsintegrator1-params-LW2V34U	-13.581329648119588	-1.5439976955282013
hiv-omicsintegrator1-params-5PV5R4M	-13.581329648119588	-1.5439976955282013
hiv-omicsintegrator1-params-5OAENKB	-13.581329648119588	-1.5439976955282013
hiv-omicsintegrator1-params-4S6QYO2	81.45027949791229	3.757305274868049
hiv-omicsintegrator1-params-SUBCPCC	-13.555154138590574	-1.5849812656165128
hiv-omicsintegrator1-params-WERUDAF	-13.581329648119588	-1.5439976955282013
hiv-omicsintegrator1-params-TQAZEEK	-13.581329648119588	-1.5439976955282013
hiv-omicsintegrator1-params-C4N3KE7	88.1753850490737	-8.956028115843566
hiv-omicsintegrator1-params-J5PMCRQ	-13.555154138590574	-1.5849812656165128
hiv-omicsintegrator1-params-2NL4RDV	-13.581329648119588	-1.5439976955282013
hiv-omicsintegrator1-params-OJVVFSK	-13.581329648119588	-1.5439976955282013
hiv-omicsintegrator1-params-VZM7OSX	90.2905617390272	-15.072464634410615
hiv-omicsintegrator1-params-UAYBOVK	-13.555154138590574	-1.5849812656165128
hiv-omicsintegrator1-params-XJNUGEC	-13.581329648119588	-1.5439976955282013
hiv-omicsintegrator1-params-5E56FMM	-13.581329648119588	-1.5439976955282013
hiv-omicsintegrator1-params-BHLRRSP	-13.581329648119588	-1.5439976955282013
hiv-omicsintegrator1-params-VGIOBOX	-13.581329648119588	-1.5439976955282013
hiv-omicsintegrator1-params-LIWRFPS	-13.581329648119588	-1.5439976955282013
hiv-omicsintegrator1-params-UWSVCXO	-13.581329648119588	-1.5439976955282013
hiv-omicsintegrator1-params-EONPKPH	25.076603162559366	54.418154665304584
hiv-omicsintegrator1-params-6BGQ7PL	-13.542096195174775	-1.507456557687263
hiv-omicsintegrator1-params-5I2I6FM	-13.581329648119588	-1.5439976955282013
hiv-omicsintegrator1-params-XAQM3RR	-13.581329648119588	-1.5439976955282013
hiv-omicsintegrator1-params-EBEEP6T	81.45027949791229	3.757305274868049
hiv-omicsintegrator1-params-W2DOD4H	-13.582930340432714	-1.7153531860242044
hiv-omicsintegrator1-params-BF65QO6	-13.555154138590574	-1.5849812656165128
hiv-omicsintegrator1-params-XOXO56K	-13.581329648119588	-1.5439976955282013
hiv-omicsintegrator1-params-4G6HWVJ	88.1753850490737	-8.956028115843566
hiv-omicsintegrator1-params-UNEWALJ	-13.59656598821671	-1.7329228286755347
hiv-omicsintegrator1-params-Y5XCKB2	-13.555154138590574	-1.5849812656165128
hiv-omicsintegrator1-params-KPIH42T	-13.581329648119588	-1.5439976955282013
hiv-omicsintegrator1-params-5YCE7NJ	90.12910827574794	-14.879681533431427
hiv-omicsintegrator1-params-DXTK7ZU	-13.59656598821671	-1.7329228286755347
hiv-omicsintegrator1-params-SHAKIBL	-13.555154138590574	-1.5849812656165128
hiv-omicsintegrator1-params-VXGL3EA	-13.581329648119588	-1.5439976955282013
hiv-omicsintegrator1-params-WCP7GIZ	-13.581329648119588	-1.5439976955282013
hiv-omicsintegrator1-params-L4IUEVV	-13.581329648119588	-1.5439976955282013
hiv-omicsintegrator1-params-PMY3CCQ	-13.581329648119588	-1.5439976955282013
hiv-omicsintegrator1-params-LIECIRU	-13.581329648119588	-1.5439976955282013
hiv-omicsintegrator1-params-UA2CL6Z	25.076603162559366	54.418154665304584
hiv-omicsintegrator1-params-CUD2SWJ	-13.437463550518268	-1.4092031029737733
hiv-omicsintegrator1-params-EE47ACK	-13.581329648119588	-1.5439976955282013
hiv-omicsintegrator1-params-5E3SBY6	-13.581329648119588	-1.5439976955282013
hiv-omicsintegrator1-params-NFOUAB6	81.45027949791229	3.757305274868049
hiv-omicsintegrator1-params-2G7CMNV	-13.457245551643437	-1.993512331257131
hiv-omicsintegrator1-params-422WXNM	-13.565238983137341	-1.6800015673844362
hiv-omicsintegrator1-params-R3TNGIE	-13.555154138590574	-1.5849812656165128
hiv-omicsintegrator1-params-VNZUFFN	88.1753850490737	-8.956028115843566
hiv-omicsintegrator1-params-L7CHKLI	-13.510264143409973	-2.0694134113535814
hiv-omicsintegrator1-params-LWUMKKP	-13.565238983137341	-1.6800015673844362
hiv-omicsintegrator1-params-L2HU4XD	-13.555154138590574	-1.5849812656165128
hiv-omicsintegrator1-params-OA2LKJB	90.12910827574794	-14.879681533431427
hiv-omicsintegrator1-params-I6LVYQ7	-13.510264143409973	-2.0694134113535814
hiv-omicsintegrator1-params-D7XEWKT	-13.565238983137341	-1.6800015673844362
hiv-omicsintegrator1-params-7M4YEVF	-13.555154138590574	-1.5849812656165128
hiv-omicsintegrator1-params-ZZYQSRD	-13.581329648119588	-1.5439976955282013
hiv-omicsintegrator1-params-WQ6V5PX	-13.581329648119588	-1.5439976955282013
hiv-omicsintegrator1-params-XQ2C7V7	-13.581329648119588	-1.5439976955282013
hiv-omicsintegrator1-params-CML462S	-13.581329648119588	-1.5439976955282013
hiv-omicsintegrator1-params-ZWKBRYR	25.076603162559366	54.418154665304584
hiv-omicsintegrator1-params-T77D7QZ	-13.32488935946748	-1.3097428182660575
hiv-omicsintegrator1-params-SWWL7WP	-13.542096195174775	-1.507456557687263
hiv-omicsintegrator1-params-FYCKMYA	-13.581329648119588	-1.5439976955282013
hiv-omicsintegrator1-params-H766NCA	81.45027949791229	3.757305274868049
hiv-omicsintegrator1-params-EAX635F	-13.345709912731582	-2.628559765355583
hiv-omicsintegrator1-params-2NKIR7L	-13.596675365122358	-1.7337866222493643
