Node1	Node2	Frequency	Direction
1433B_HUMAN	FRYL_HUMAN	0.04	U
1433B_HUMAN	L7RRS6_HUMAN	0.04	U
1433B_HUMAN	PI3R4_HUMAN	0.04	U
1433B_HUMAN	WEE1_HUMAN	0.04	U
1433E_HUMAN	HDAC4_HUMAN	0.04	U
1433E_HUMAN	KIF1C_HUMAN	0.04	U
1433E_HUMAN	L7RRS6_HUMAN	0.04	U
1433G_HUMAN	3BP5L_HUMAN	0.04	U
1433G_HUMAN	CCNY_HUMAN	0.04	U
1433G_HUMAN	CDK17_HUMAN	0.04	U
1433G_HUMAN	CLAP1_HUMAN	0.04	U
1433G_HUMAN	CLK3_HUMAN	0.04	U
1433G_HUMAN	DYR1A_HUMAN	0.04	U
1433G_HUMAN	EDC3_HUMAN	0.04	U
1433G_HUMAN	L7RRS6_HUMAN	0.04	U
1433G_HUMAN	LC7L2_HUMAN	0.04	U
1433G_HUMAN	LIPB1_HUMAN	0.04	U
1433G_HUMAN	MFAP1_HUMAN	0.04	U
1433G_HUMAN	MYCB2_HUMAN	0.04	U
1433G_HUMAN	NOLC1_HUMAN	0.04	U
1433G_HUMAN	OSBL3_HUMAN	0.04	U
1433G_HUMAN	PR38B_HUMAN	0.04	U
1433G_HUMAN	PRP19_HUMAN	0.04	U
1433G_HUMAN	SON_HUMAN	0.04	U
1433G_HUMAN	SRS10_HUMAN	0.04	U
1433G_HUMAN	TR150_HUMAN	0.04	U
1433G_HUMAN	TRA2A_HUMAN	0.04	U
1433G_HUMAN	ZBT21_HUMAN	0.04	U
1433T_HUMAN	CBL_HUMAN	0.04	U
1433T_HUMAN	KLC2_HUMAN	0.04	U
1433T_HUMAN	MPRIP_HUMAN	0.04	U
2A5A_HUMAN	2AAB_HUMAN	0.04	U
2A5E_HUMAN	2AAB_HUMAN	0.04	U
2AAB_HUMAN	B3KUN1_HUMAN	0.04	U
4EBP1_HUMAN	IF4E_HUMAN	0.04	U
4EBP1_HUMAN	RPTOR_HUMAN	0.04	U
5NTC_HUMAN	FXR2_HUMAN	0.04	U
A2ABF8_HUMAN	CBX5_HUMAN	0.04	U
A2RUM7_HUMAN	MDM2_HUMAN	0.04	U
A2RUM7_HUMAN	N0E4C7_HUMAN	0.04	U
A4QPA9_HUMAN	L7RRS6_HUMAN	0.04	U
A4QPA9_HUMAN	M3K1_HUMAN	0.04	U
A4QPA9_HUMAN	MK01_HUMAN	0.04	U
A8K3Y2_HUMAN	M3K4_HUMAN	0.04	U
A8K3Y2_HUMAN	M3K7_HUMAN	0.04	U
A8K3Y2_HUMAN	MK14_HUMAN	0.04	U
AAPK1_HUMAN	F263_HUMAN	0.04	D
AAPK1_HUMAN	GBF1_HUMAN	0.04	D
AAPK1_HUMAN	HS90A_HUMAN	0.04	U
AAPK1_HUMAN	TBCD1_HUMAN	0.04	D
ABL1_HUMAN	ABL2_HUMAN	0.04	D
ABL1_HUMAN	L7RT18_HUMAN	0.04	U
ABL1_HUMAN	PSA7_HUMAN	0.04	D
ACTB_HUMAN	EMD_HUMAN	0.04	U
ACTS_HUMAN	COF1_HUMAN	0.04	U
ACTS_HUMAN	GELS_HUMAN	0.04	U
ADNP_HUMAN	CBX5_HUMAN	0.04	U
ADRM1_HUMAN	UBQL1_HUMAN	0.04	U
AFF4_HUMAN	CDK9_HUMAN	0.04	U
AGFG1_HUMAN	B7Z240_HUMAN	0.04	U
AKA10_HUMAN	B2R5T5_HUMAN	0.04	U
AKA11_HUMAN	GSK3B_HUMAN	0.04	U
AKAP1_HUMAN	B2R5T5_HUMAN	0.04	U
AKP8L_HUMAN	LAP2B_HUMAN	0.08	U
AKT1_HUMAN	ACAP1_HUMAN	0.04	D
AKT1_HUMAN	ACINU_HUMAN	0.04	D
AKT1_HUMAN	CHSP1_HUMAN	0.04	D
AKT1_HUMAN	FYV1_HUMAN	0.04	D
AKT1_HUMAN	GRDN_HUMAN	0.04	D
AKT1_HUMAN	MTOR_HUMAN	0.04	U
