Name	Number of nodes	Number of undirected edges	Number of connected components	Nodes in prize	Nodes in sources	Nodes in targets
output/hiv060-omicsintegrator1-params-2G7CMNV/pathway.txt	188	122	66	188	0	0
output/hiv060-omicsintegrator1-params-2NFVB7W/pathway.txt	24	12	12	24	0	0
output/hiv060-omicsintegrator1-params-2NKIR7L/pathway.txt	82	46	36	82	0	0
output/hiv060-omicsintegrator1-params-2NL4RDV/pathway.txt	2	1	1	2	0	0
output/hiv060-omicsintegrator1-params-422WXNM/pathway.txt	28	14	14	28	0	0
output/hiv060-omicsintegrator1-params-4G6HWVJ/pathway.txt	0	0	0	0	0	0
output/hiv060-omicsintegrator1-params-4S6QYO2/pathway.txt	0	0	0	0	0	0
output/hiv060-omicsintegrator1-params-5E3SBY6/pathway.txt	0	0	0	0	0	0
output/hiv060-omicsintegrator1-params-5E56FMM/pathway.txt	0	0	0	0	0	0
output/hiv060-omicsintegrator1-params-5I2I6FM/pathway.txt	0	0	0	0	0	0
output/hiv060-omicsintegrator1-params-5OAENKB/pathway.txt	0	0	0	0	0	0
output/hiv060-omicsintegrator1-params-5PV5R4M/pathway.txt	0	0	0	0	0	0
output/hiv060-omicsintegrator1-params-5YCE7NJ/pathway.txt	0	0	0	0	0	0
output/hiv060-omicsintegrator1-params-6BGQ7PL/pathway.txt	10	5	5	10	0	0
output/hiv060-omicsintegrator1-params-6ZYKM5I/pathway.txt	835	818	17	653	0	0
output/hiv060-omicsintegrator1-params-7F2UHHY/pathway.txt	0	0	0	0	0	0
output/hiv060-omicsintegrator1-params-7JTTPPE/pathway.txt	24	12	12	24	0	0
output/hiv060-omicsintegrator1-params-7M4YEVF/pathway.txt	14	7	7	14	0	0
output/hiv060-omicsintegrator1-params-7VVKFFW/pathway.txt	0	0	0	0	0	0
output/hiv060-omicsintegrator1-params-BF65QO6/pathway.txt	6	3	3	6	0	0
output/hiv060-omicsintegrator1-params-BHLRRSP/pathway.txt	0	0	0	0	0	0
output/hiv060-omicsintegrator1-params-BK5Y6AV/pathway.txt	0	0	0	0	0	0
output/hiv060-omicsintegrator1-params-BS7GMXF/pathway.txt	104	61	43	104	0	0
output/hiv060-omicsintegrator1-params-C4N3KE7/pathway.txt	0	0	0	0	0	0
output/hiv060-omicsintegrator1-params-CML462S/pathway.txt	0	0	0	0	0	0
output/hiv060-omicsintegrator1-params-CUD2SWJ/pathway.txt	23	12	11	23	0	0
output/hiv060-omicsintegrator1-params-CXULPPY/pathway.txt	0	0	0	0	0	0
output/hiv060-omicsintegrator1-params-D2CFK7Y/pathway.txt	0	0	0	0	0	0
output/hiv060-omicsintegrator1-params-D7XEWKT/pathway.txt	40	21	19	40	0	0
output/hiv060-omicsintegrator1-params-DLZY2UU/pathway.txt	0	0	0	0	0	0
output/hiv060-omicsintegrator1-params-DXTK7ZU/pathway.txt	98	58	40	98	0	0
output/hiv060-omicsintegrator1-params-E4PGYJE/pathway.txt	0	0	0	0	0	0
output/hiv060-omicsintegrator1-params-EAX635F/pathway.txt	288	204	84	288	0	0
output/hiv060-omicsintegrator1-params-EBEEP6T/pathway.txt	0	0	0	0	0	0
output/hiv060-omicsintegrator1-params-EE47ACK/pathway.txt	0	0	0	0	0	0
output/hiv060-omicsintegrator1-params-EKFAHXJ/pathway.txt	0	0	0	0	0	0
output/hiv060-omicsintegrator1-params-EONPKPH/pathway.txt	835	818	17	653	0	0
output/hiv060-omicsintegrator1-params-F2GW4FM/pathway.txt	0	0	0	0	0	0
output/hiv060-omicsintegrator1-params-FYCKMYA/pathway.txt	0	0	0	0	0	0
output/hiv060-omicsintegrator1-params-GB464QK/pathway.txt	0	0	0	0	0	0
