KEGG_Orthology,HSA,Uniprot,link_category
K25057,hsa:11168,up:O75475,equivalent
K12183,hsa:7251,up:Q99816,equivalent
K12194,hsa:29082,up:Q9BY43,equivalent
K12195,hsa:79643,up:Q96FZ7,equivalent
K12200,hsa:10015,up:Q8WUM4,equivalent
K04180,hsa:1234,up:P51681,equivalent
K04180,hsa:1234,up:Q38L21,equivalent
K04189,hsa:7852,up:P61073,equivalent
K06454,hsa:920,up:A0A4Y5UGE4,equivalent
K06454,hsa:920,up:B4DT49,equivalent
K06454,hsa:920,up:P01730,equivalent
K12172,hsa:5903,up:P49792,equivalent
K14296,hsa:9972,up:P49790,equivalent
K15436,hsa:23534,up:B3KMX1,equivalent
K15436,hsa:23534,up:Q9Y5L0,equivalent
K14398,hsa:79869,up:Q8N684,equivalent
K10648,hsa:85363,up:Q9C035,equivalent
K18739,hsa:636,up:Q96G01,equivalent
K25663,hsa:9638,up:Q99689,equivalent
K10429,hsa:55201,up:Q66K74,equivalent
K14754,hsa:4600,up:P20592,equivalent
K03767,hsal:JMJ58_06545,,
K11648,hsa:6598,up:Q12824,equivalent
K09578,hsa:5300,up:Q13526,equivalent
K06062,hsa:8850,up:Q92831,equivalent
K14290,hsa:7514,up:B3KWD0,equivalent
K14290,hsa:7514,up:O14980,equivalent
K01349,hsa:5045,up:P09958,equivalent
K15185,hsa:27125,up:Q9UHB7,equivalent
K15179,hsa:7469,up:A0A0C4DFX9,equivalent
K15179,hsa:7469,up:Q9H3P2,equivalent
K15180,hsa:25920,up:Q8WX92,equivalent
K15181,hsa:51497,up:H0UI80,equivalent
K15181,hsa:51497,up:Q8IXH7,equivalent
K15182,hsa:7936,up:A0A1U9X830,equivalent
K15182,hsa:7936,up:P18615,equivalent
K15171,hsal:JMJ58_11085,,
K15172,hsal:JMJ58_15635,,
K18750,hsa:9582,up:Q9UH17,equivalent
K06731,hsa:684,up:A0A024R7H5,equivalent
K06731,hsa:684,up:Q10589,equivalent
K12182,hsa:9146,up:A0A0S2Z4R4,equivalent
K12182,hsa:9146,up:O14964,equivalent
K12196,hsa:9525,up:O75351,equivalent
K15183,hsa:8178,up:P55199,equivalent
K02211,hsa:1025,up:P50750,equivalent
K15187,hsa:4300,up:A0A0S2Z448,equivalent
K15187,hsa:4300,up:P42568,equivalent
K15188,hsa:905,up:B4DH21,equivalent
K15188,hsa:905,up:O60583,equivalent
K04498,hsa:2033,up:Q09472,equivalent
K04498,hsa:2033,up:Q7Z6C1,equivalent
K07936,hsa:5901,up:P62826,equivalent
K22544,hsa:25939,up:Q59H15,equivalent
K22544,hsa:25939,up:Q9Y3Z3,equivalent
K25655,hsa:256987,up:Q86VE9,equivalent
K25661,hsa:10955,up:Q13530,equivalent
K27688,hsa:29969,up:Q9P1T7,equivalent
