Entry	Reviewed	Entry Name	Protein names	Gene Names	Gene Ontology (biological process)
A0A024R1X5	unreviewed	A0A024R1X5_HUMAN	Beclin-1	BECN1 hCG_16958	amyloid-beta metabolic process [GO:0050435]; apoptotic process [GO:0006915]; autophagosome assembly [GO:0000045]; cell division [GO:0051301]; cellular response to aluminum ion [GO:0071275]; cellular response to amino acid starvation [GO:0034198]; cellular response to copper ion [GO:0071280]; cellular response to epidermal growth factor stimulus [GO:0071364]; cellular response to glucose starvation [GO:0042149]; cellular response to hydrogen peroxide [GO:0070301]; cellular response to nitrogen starvation [GO:0006995]; cellular response to oxygen-glucose deprivation [GO:0090650]; defense response to virus [GO:0051607]; early endosome to late endosome transport [GO:0045022]; engulfment of apoptotic cell [GO:0043652]; JNK cascade [GO:0007254]; late endosome to vacuole transport [GO:0045324]; lysosome organization [GO:0007040]; mitophagy [GO:0000423]; negative regulation of apoptotic process [GO:0043066]; negative regulation of autophagosome assembly [GO:1902902]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of lysosome organization [GO:1905672]; negative regulation of reactive oxygen species metabolic process [GO:2000378]; neuron development [GO:0048666]; p38MAPK cascade [GO:0038066]; positive regulation of autophagosome assembly [GO:2000786]; positive regulation of cardiac muscle hypertrophy [GO:0010613]; positive regulation of intrinsic apoptotic signaling pathway [GO:2001244]; positive regulation of stress granule assembly [GO:0062029]; response to hypoxia [GO:0001666]; response to iron(II) ion [GO:0010040]; response to lead ion [GO:0010288]; response to vitamin E [GO:0033197]; response to xenobiotic stimulus [GO:0009410]; SMAD protein signal transduction [GO:0060395]
A0A0S2Z4N5	unreviewed	A0A0S2Z4N5_HUMAN	Tumor protein 63 (p63)	TP63 TP73L hCG_16028	cellular senescence [GO:0090398]; chromatin remodeling [GO:0006338]; cloacal septation [GO:0060197]; cranial skeletal system development [GO:1904888]; determination of adult lifespan [GO:0008340]; ectoderm and mesoderm interaction [GO:0007499]; embryonic forelimb morphogenesis [GO:0035115]; embryonic hindlimb morphogenesis [GO:0035116]; epidermal cell division [GO:0010481]; epithelial cell development [GO:0002064]; establishment of planar polarity [GO:0001736]; establishment of skin barrier [GO:0061436]; female genitalia morphogenesis [GO:0048807]; hair follicle morphogenesis [GO:0031069]; intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator [GO:0042771]; keratinocyte differentiation [GO:0030216]; keratinocyte proliferation [GO:0043616]; negative regulation of intracellular estrogen receptor signaling pathway [GO:0033147]; negative regulation of keratinocyte differentiation [GO:0045617]; negative regulation of mesoderm development [GO:2000381]; negative regulation of transcription by RNA polymerase II [GO:0000122]; neuron apoptotic process [GO:0051402]; Notch signaling pathway [GO:0007219]; odontogenesis of dentin-containing tooth [GO:0042475]; polarized epithelial cell differentiation [GO:0030859]; positive regulation of apoptotic signaling pathway [GO:2001235]; positive regulation of keratinocyte proliferation [GO:0010838]; positive regulation of Notch signaling pathway [GO:0045747]; positive regulation of somatic stem cell population maintenance [GO:1904674]; positive regulation of stem cell proliferation [GO:2000648]; post-anal tail morphogenesis [GO:0036342]; prostatic bud formation [GO:0060513]; protein tetramerization [GO:0051262]; proximal/distal pattern formation [GO:0009954]; regulation of epidermal cell division [GO:0010482]; skeletal system development [GO:0001501]; skin morphogenesis [GO:0043589]; spermatogenesis [GO:0007283]; squamous basal epithelial stem cell differentiation involved in prostate gland acinus development [GO:0060529]; stem cell proliferation [GO:0072089]; sympathetic nervous system development [GO:0048485]; transcription by RNA polymerase II [GO:0006366]
A0A140VK09	unreviewed	A0A140VK09_HUMAN	Calcium and integrin-binding protein 1 (Calmyrin)		angiogenesis [GO:0001525]; apoptotic process [GO:0006915]; cell adhesion [GO:0007155]; cell division [GO:0051301]; cellular response to growth factor stimulus [GO:0071363]; negative regulation of apoptotic process [GO:0043066]; negative regulation of megakaryocyte differentiation [GO:0045653]; negative regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction [GO:0051898]; negative regulation of protein phosphorylation [GO:0001933]; platelet formation [GO:0030220]; positive regulation of calcineurin-NFAT signaling cascade [GO:0070886]; positive regulation of cell growth [GO:0030307]; positive regulation of cell migration involved in sprouting angiogenesis [GO:0090050]; positive regulation of cell-matrix adhesion [GO:0001954]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of male germ cell proliferation [GO:2000256]; positive regulation of protein localization to plasma membrane [GO:1903078]; positive regulation of protein phosphorylation [GO:0001934]; response to ischemia [GO:0002931]; spermatid development [GO:0007286]; thrombopoietin-mediated signaling pathway [GO:0038163]
A0A2P9DU05	unreviewed	A0A2P9DU05_HUMAN	Rho-associated protein kinase (EC 2.7.11.1)	ROCK2	actomyosin structure organization [GO:0031032]; cortical actin cytoskeleton organization [GO:0030866]; embryonic morphogenesis [GO:0048598]; mitotic cytokinesis [GO:0000281]; positive regulation of centrosome duplication [GO:0010825]; regulation of actin cytoskeleton organization [GO:0032956]; regulation of cell junction assembly [GO:1901888]; Rho protein signal transduction [GO:0007266]; rhythmic process [GO:0048511]; smooth muscle contraction [GO:0006939]
A0A2R8Y4I8	unreviewed	A0A2R8Y4I8_HUMAN	Spastin (EC 5.6.1.1)	SPAST SPG4	axonogenesis [GO:0007409]; cytokinetic process [GO:0032506]; endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]; microtubule severing [GO:0051013]; positive regulation of microtubule depolymerization [GO:0031117]; protein hexamerization [GO:0034214]
A0A2U3TZR0	unreviewed	A0A2U3TZR0_HUMAN	Spastin (EC 5.6.1.1)	SPAST SPG4	axonogenesis [GO:0007409]; cytokinetic process [GO:0032506]; endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]; microtubule severing [GO:0051013]; positive regulation of microtubule depolymerization [GO:0031117]; protein hexamerization [GO:0034214]
A1L190	reviewed	SYCE3_HUMAN	Synaptonemal complex central element protein 3 (Testis highly expressed gene 2 protein) (THEG-2)	SYCE3 C22orf41 THEG2	apoptotic process [GO:0006915]; cell division [GO:0051301]; ectopic germ cell programmed cell death [GO:0035234]; positive regulation of apoptotic process [GO:0043065]; positive regulation of developmental process [GO:0051094]; positive regulation of reproductive process [GO:2000243]; reciprocal meiotic recombination [GO:0007131]; spermatogenesis [GO:0007283]; synaptonemal complex assembly [GO:0007130]
A8MT69	reviewed	CENPX_HUMAN	Centromere protein X (CENP-X) (FANCM-associated histone fold protein 2) (FANCM-interacting histone fold protein 2) (Fanconi anemia-associated polypeptide of 10 kDa) (Retinoic acid-inducible gene D9 protein homolog) (Stimulated by retinoic acid gene 13 protein homolog)	CENPX FAAP10 MHF2 STRA13	cell division [GO:0051301]; chromosome segregation [GO:0007059]; interstrand cross-link repair [GO:0036297]; kinetochore assembly [GO:0051382]; positive regulation of protein ubiquitination [GO:0031398]; replication fork processing [GO:0031297]; resolution of meiotic recombination intermediates [GO:0000712]
A8MVW5	reviewed	HECA2_HUMAN	HEPACAM family member 2 (Mitotic kinetics regulator)	HEPACAM2 MIKI UNQ305/PRO346	cell division [GO:0051301]; centrosome cycle [GO:0007098]
B2RDY3	unreviewed	B2RDY3_HUMAN	Multifunctional fusion protein [Includes: Katanin p60 ATPase-containing subunit A1 (Katanin p60 subunit A1) (EC 5.6.1.1) (p60 katanin); Katanin p60 ATPase-containing subunit A-like 1 (Katanin p60 subunit A-like 1) (p60 katanin-like 1)]	KATNAL1 KATNA1	cell division [GO:0051301]; microtubule severing [GO:0051013]; spermatogenesis [GO:0007283]
B3KUK7	unreviewed	B3KUK7_HUMAN	Multifunctional fusion protein [Includes: Katanin p60 ATPase-containing subunit A1 (Katanin p60 subunit A1) (EC 5.6.1.1) (p60 katanin); Katanin p60 ATPase-containing subunit A-like 1 (Katanin p60 subunit A-like 1) (p60 katanin-like 1)]	KATNA1 KATNAL1	cell division [GO:0051301]; microtubule severing [GO:0051013]; spermatogenesis [GO:0007283]
D9ZGF8	unreviewed	D9ZGF8_HUMAN	Rho-associated protein kinase (EC 2.7.11.1)	ROCK1	actomyosin structure organization [GO:0031032]; cortical actin cytoskeleton organization [GO:0030866]; embryonic morphogenesis [GO:0048598]; mitotic cytokinesis [GO:0000281]; regulation of cell junction assembly [GO:1901888]; Rho protein signal transduction [GO:0007266]
E5KRP5	unreviewed	E5KRP5_HUMAN	Spastin (EC 5.6.1.1)	SPAST SPG4 hCG_23080	anterograde axonal transport [GO:0008089]; axonal transport of mitochondrion [GO:0019896]; axonogenesis [GO:0007409]; cytokinetic process [GO:0032506]; endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]; microtubule severing [GO:0051013]; positive regulation of microtubule depolymerization [GO:0031117]; protein hexamerization [GO:0034214]
E5KRP6	unreviewed	E5KRP6_HUMAN	Spastin (EC 5.6.1.1)	SPAST SPG4	axonogenesis [GO:0007409]; cytokinetic process [GO:0032506]; endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]; microtubule severing [GO:0051013]; positive regulation of microtubule depolymerization [GO:0031117]; protein hexamerization [GO:0034214]
H0YL14	reviewed	TM250_HUMAN	Transmembrane protein 250 (Herpes virus UL25-binding protein)	TMEM250 C9orf69	cilium assembly [GO:0060271]; cytoskeleton-dependent cytokinesis [GO:0061640]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of viral process [GO:0048524]; protein localization [GO:0008104]
